Padmagupta (alias Parimala):
Navasahasankacarita

Based on the edition by Vamanasastri Islampurakara,
Bombay : Govt. Central Book Depot
(Bombay Sanskrit Series, 53)

Input by Somadeva Vasudeva, 2001

PADA-INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________






Padmagupta (alias Parimala):
NavasÃhasÃÇkacarita



akaÇkaïam akeyÆram  Pnc_11.90a
satama÷ paÓya mahendradiÇmukham  Pnc_12.48b
sa tava Órutim Ãpta eva tÃvat  Pnc_5.7a
sa tasyÃæ dÆravik«ipta-  Pnc_2.78a
satÃrahÃreïa bhujÃntareïa ca  Pnc_4.30b
sa te«Ãæ sahajodagra-  Pnc_2.28a
satkÃram ÃyatananiÓlathamauliratnau  Pnc_18.65b
satkriyÃæ racayituæ tavÃtither  Pnc_8.74a
sattve«u vyathitÃ iva  Pnc_2.59b
sattve«v anaparÃdhi«u  Pnc_2.32b
satpatrÃvalicÃruïÃ  Pnc_6.97b
satpu«karÃna¤janapu¤jabhÃsas  Pnc_17.8a
satpu«karoddyotitaraÇgaÓobhi-  Pnc_1.54a
satyaæ kÃmo 'sya kiÇkara÷  Pnc_6.57b
satyaæ yadantaraÇgeïa  Pnc_6.37c
sa dak«iïena sphuratÃ ca bahunÃ  Pnc_4.8b
sa darÓitapremalave vilocane  Pnc_4.2d
sadÃ kalpitahÃÂakeÓvarÃkhya÷  Pnc_5.20b
sadÃgatiprav­ttena  Pnc_11.77a
sadÃ priyas ti«Âhati kaïÂhalagna÷  Pnc_1.41d
sadÃ sadÃcÃrapareti vÃrtayÃ  Pnc_7.46a
sadÃ samakarasyÃsya  Pnc_11.101a
sad­Óaæ jÃtam uda¤catÃ nabha÷  Pnc_12.35b
sadaiva darbhÃÇkuralÃlitair m­gai÷  Pnc_13.11b
sadya÷ karasparÓam avÃpya citraæ  Pnc_1.62a
sa na kasyÃn­jucetaso jana÷?  Pnc_5.74d
sanaye n­patÃv akhaï¬itÃj¤e  Pnc_5.49a
sanÃgavÅrair asurendrasainyam  Pnc_17.25d
sanÃthatÃæ nÅta ivopari sphuÂam  Pnc_13.44c
sanÃthatÅrorunitambabimbÃ  Pnc_14.79d
sanÃthavÃmetarapÃïipaÇkajaæ  Pnc_13.10c
sa nÃrpyate kiæ karabhoru sÃyaka÷  Pnc_7.57d
sa nÃrmadaæ sÅyakarÃjanandana÷  Pnc_13.59d
sa nirgacchan pati÷ Óriya÷  Pnc_11.2b
sa n­pa÷ pannagavÃmalocanÃyÃ÷  Pnc_5.79b
santatai÷ sa÷ prayÃïakai÷  Pnc_16.64b
santÃnakathayaitayÃ  Pnc_11.114b
santÃnaniryanmadaveïik­«ïÃ  Pnc_14.81b
santÃna÷ svastimÃn abhÆt  Pnc_2.29d
sandeÓena tavÃdhunÃ  Pnc_16.45b
sandrahemarajasÃ mahaujasÃm  Pnc_8.48a
sandhyayÃ k­tapadaæ kva cit kva cit  Pnc_8.64d
sandhyÃtapeneva sadÃ vibhÃti  Pnc_1.36d
sandhyÃpraïÃmavi«amÃ¤jalaye namas te  Pnc_18.17d
sandhyÃbhrakapiÓÃ jaÂÃ÷  Pnc_11.32b
sannaddhasya manobhuva÷  Pnc_6.3d
sannÃbhibimbena mahÃjilak«myÃ  Pnc_17.38a
sa patir matsarÃd iva  Pnc_2.23b
sapadi vyÃlavilÃsinÅsamÆha÷  Pnc_5.15b
saparÃge viÓaÓrÃma  Pnc_2.87a
sapu«pasalilÃ¤jali÷  Pnc_2.82b
saptatantuparampara÷  Pnc_11.72b
sabÃïacakrÅk­takÃrmukÃni  Pnc_17.46b
sabÃ«paleÓÃ iva kha¬galekhÃ÷  Pnc_17.29d
sa bhÃrgava ivÃpara÷  Pnc_2.10d
sa bhÆpatir vaktum iti pracakrame  Pnc_13.15d
samagaæsta jagatpÆjya÷  Pnc_16.61c
samagrapu«pÃharaïodyatÃbhya÷  Pnc_14.34b
samajani nÃkatalÃdhidevateyam  Pnc_3.70b
samajani bh­Óam Ãyato 'sya panthÃs  Pnc_3.42c
samaïistambham agre 'tha  Pnc_11.105a
samatsare cetasi durjanÃnÃæ  Pnc_1.12a
samadakro¬adaæ«ÂrÃbhi÷  Pnc_2.30a
samadakro¬asanÃthapalvalÃsu  Pnc_5.38b
samantrÃm Ãhutiæ dadau  Pnc_11.67b
samam adriguhÃmukhasthitais  Pnc_12.29c
samam i«ubhi÷ sa ramÃÇgade narendras  Pnc_3.41b
samam evÃhikanyÃnÃæ  Pnc_6.32c
sa mayÃ na taÂe«u nirjharÃïÃæ  Pnc_5.39a
samaraÓramÃbhyuditagharmabindunÃ  Pnc_10.20b
samarÃÇgaïavartini  Pnc_16.113b
samarpitÃ pÃrthiva pu«paketunÃ  Pnc_7.73a
samavi«ameïa pathÃ pura÷ pratasthe  Pnc_3.2d
samaæ vidyÃdharÃnÅkair  Pnc_16.117c
samaæ vimuktÃ nayanatribhÃgai÷  Pnc_14.12b
samÃgamaæ svapnajam abjalocana÷  Pnc_13.7d
samÃnabhÃvais tribhir eva manye  Pnc_9.7a
samÃpatan kunda ivÃlipaÇktaya÷  Pnc_7.30d
samÃh­teyaæ kabarÅ yathÃ tathÃ  Pnc_4.21b
samÃh­tyeva tadbhart­-  Pnc_11.100c
samÃ÷ sahasraæ vasato rasÃtale  Pnc_13.60b
samidhaÓ ca padÃni ca  Pnc_11.20d
samÅpam etyopari kaÇkayÆtham  Pnc_17.23b
samÅravellattaÂahemavalli-  Pnc_14.80a
samÅrÃs taæ si«evire  Pnc_11.4b
samuccaran nÆpurasinncitai÷ padair  Pnc_4.41a
samutkayantÅ kalahaæsayÆtham  Pnc_9.13c
samudgatÃny Ãjimukhe yaÓÃæsi  Pnc_1.71d
samudyato dÃtum ivÃæÓumÃline  Pnc_13.36d
samudranemivasudhÃ dh­teyam  Pnc_9.7b
samudraraÓanÃ mahÅ  Pnc_2.84d
samudvahantÅ sravada¤janÃÓru-  Pnc_10.65a
sa muner nÃma cÃrthavat  Pnc_11.71b
samunmi«atsvedalave vilumpati  Pnc_4.4b
samunmi«anti ÓramavÃribindavo  Pnc_4.50c
samupaiti sanÃthatÃæ kim anyat  Pnc_5.48a
samupaiti sp­haïÅyatÃæ jana÷  Pnc_12.61b
samupo¬hapraïayaæ yaÓobhaÂena  Pnc_4.61b
samullasatsÃndrayaÓa÷prasÆnÃ  Pnc_1.77b
samullasatsvedalavÃÇkitastanÅ  Pnc_7.78b
sa m­gavyÃvinodena  Pnc_2.1c
sa m­gas tasya cetasi  Pnc_2.92b
samedhitaÓrÅr abhitas talotthitai÷  Pnc_13.39a
samedhitasyÃbjabhuvÃ vareïa  Pnc_9.52c
same 'pi mÃrge dadatÅ padÃni  Pnc_9.14d
samauliratnÃ iva pannagendrÃ÷  Pnc_17.20d
sampraty avaimi prathitÃ yadÃta÷  Pnc_9.47a
sampraty ahaæ paÓyata! digvadhÆnÃæ  Pnc_1.16c
sambhavaty amarÃdrau vÃ  Pnc_2.49c
sambhÃvanÃbhÃramaho nidhatse  Pnc_9.31b
sambhÃvyase me n­pate tvam eva  Pnc_9.59d
sambhÃ«aïaæ vidadhatÅm iva pauramukta-  Pnc_18.58c
sambhÃ«ya tÃn smitamukha÷ saha tair jagÃma  Pnc_18.60b
sambhrameïa galitaæ natabhruva÷  Pnc_8.25c
sambhramottÃnite kare  Pnc_16.20d
sammarjanÅbhi÷ parata÷ kriyante  Pnc_1.27c
sammohanÃstrasphuritaæ niveÓya  Pnc_1.32b
samrÃÂ tata÷ sa÷ katham apy urarÅcakÃra  Pnc_13.67d
sayaæ ca kampa÷ kucayor vadhÆr iyaæ  Pnc_4.21c
sa yÃvad Ãpra«Âum iye«a pÃrthiva÷  Pnc_13.17d
sa yena mukto nijanÃmalÃ¤chita÷  Pnc_4.34c
sa yoganidrÃmukule mukunda÷  Pnc_9.8d
saratnakÃ¤cÅvalayair vilÃsa-  Pnc_14.17a
sa ramÃÇgadaæ n­patir ity avocat  Pnc_10.1d
sarale jaÂhity uditakÃrÓyadorlatÃ-  Pnc_10.60a
sarale saha vÃrijaÓriyÃ  Pnc_12.34a
sarasakanakajambÆpallavaprastare«u  Pnc_15.70d
sarasa÷ sa÷ saikataÓilÃtale n­pa÷  Pnc_3.73d
sarasÃgaseva ramaïena  Pnc_15.45a
sarasÃæ nÃpsu na puï¬arÅka«aï¬e  Pnc_5.39b
sarasijasanÃthapÃïibhi÷  Pnc_15.33b
sarasi dhavalite tata÷ samantÃd  Pnc_3.50a
sarasÅm avagÃhata÷  Pnc_2.77b
sarasÅ«v api nÃyatormilekhÃ  Pnc_5.39c
sarasÅ suptahaæseva  Pnc_6.100c
saraso 'sya vimu¤ca tÅralekhÃm  Pnc_5.78a
SarasvatÅkalpalataikakandaæ  Pnc_1.7a
sa raæhasÃ saæmukham Ãpatantam  Pnc_17.34b
sarÃga iva «aÂpada÷  Pnc_6.2d
sarÃgabimbau«ÂhagalatpravÃlayÃ  Pnc_7.2b
sarÃgavaty utkalikÃbhir Ãkule  Pnc_7.33a
sa rÃjacÆ¬Ãmaïim ity ap­cchata  Pnc_13.14d
sa rÃjahaæso 'pi viveÓa mÃnasam  Pnc_7.42b
saritam iva vanÃntare samÅra÷  Pnc_3.69c
sarita÷ Óriyam År«yayeva tasyÃ÷  Pnc_5.16c
sarita÷ sÃlabha¤jikÃ  Pnc_11.49d
saritÃsi vaÇkumunidarÓanaæ prati  Pnc_10.36b
saritpayÃæsÅva niÓakarÃæÓu-  Pnc_17.30c
sarit saphenÃ nidhim ambhasÃm iva  Pnc_4.40d
sarid api sÃsya puras tirobabhÆva  Pnc_9.67d
saridg­hÅtaikam­ïÃlayor iva  Pnc_7.19d
sa reje meghanirmukta÷  Pnc_2.74c
sarojinÅva haæsÅbhir  Pnc_6.116a
sarva­tur lak«mÅnibi¬opagÆ¬he  Pnc_14.38b
sarvata÷ sas tamasÃvile bile  Pnc_8.46b
sarvathÃ te kari«yanti  Pnc_6.85c
sarvathÃ vasudhÃtale  Pnc_2.49b
salilagatadhiyÃtha tena dÆrÃt  Pnc_3.46a
salilaæ kirantam avalokya  Pnc_15.15a
salilÃhatitruÂitahÃra-  Pnc_15.27a
salile nimaÇktum asitek«aïÃjana÷  Pnc_15.1d
salÅlam asta÷ kabarÅbhare kara÷  Pnc_7.12d
salÅlam Ãvartayituæ pracakrame  Pnc_4.5b
salÅlam utkampini yat kucadvaye  Pnc_7.20d
salÅlam uddhÆlakulÃcaleyaæ  Pnc_9.29c
salÅlam evaæ vadati smitÃnane  Pnc_7.58a
sa vaktum upacakrame  Pnc_11.39d
sa vajrÃÇkuÓam aik«ata  Pnc_16.76d
savapur vilocanapathaæ yadÃvayor  Pnc_10.2c
savaÓena ni«evyate  Pnc_2.62d
sa va÷ ÓaÓÅ ÓaÇkaramauliratnam  Pnc_1.2b
sa vÃladhibhir ujjvalam  Pnc_2.19b
savikriyaæ ÓuktipuÂÃd iva udakam  Pnc_13.4d
sa vidyÃdharayo«itÃm  Pnc_16.53b
savidhe ni«asÃda sÃ  Pnc_16.8d
savilÃsam udastahastamuktair  Pnc_5.10a
sa vismayasyÃgramahÅm anÅyata  Pnc_13.26b
savismayaæ nÃgapurÃÇganÃbhir  Pnc_14.25c
savismayo locanamÃrgam ÃptayÃ  Pnc_7.3a
sa vismito madhyamalokavÃsava÷  Pnc_13.21b
savegavelÃnilavellitÃ÷ kva cin  Pnc_13.43a
saÓaÇka iva bhÆpÃlÃn  Pnc_2.98c
saÓabdajambÆnadamekhaleva  Pnc_1.18d
saÓaraæ cÃpam Ãdade  Pnc_2.73d
sa ÓarÃn puï¬arÅke«u  Pnc_2.21c
saÓi«yam abhyÃgatam aÇganÃntike  Pnc_13.11c
saÓÅkara ivodasto  Pnc_11.52c
saÓ ca tÃm Ãttasaæbhrama÷  Pnc_16.5b
saÓ ca trijagata÷ sÃram  Pnc_16.66a
saÓ ca hÃra÷ stanacandanÃÇkita÷  Pnc_12.5d
saÓ cÃdbhutaprÃbh­tato«ita÷ kare  Pnc_13.27a
saÓ cÃntaraæ dÅdhitimÃn ivodadher  Pnc_13.47c
saÓ cÃsanatvaæ tadanuj¤ayÃnayan  Pnc_13.13c
saÓ cchÃyÃm atha mahasÃ hasan himÃæÓo÷  Pnc_6.119c
sa«aÂpadaæ padmam ivÃravindinÅ  Pnc_7.24d
sa samaæ rÃjasÆnubhi÷  Pnc_2.2b
sasaæbhramam ayaæ Óuka÷  Pnc_11.27d
sasaæbhramaæ ko 'pi mahÃtapÃ muni÷  Pnc_13.52b
sasaæbhramaæ pauravilÃsinÅ«u  Pnc_1.52b
sasaæbhramottaæbhitakarïatÃlam  Pnc_14.2a
sasÃdhvasenÃvirataæ mayÃ tvam  Pnc_10.68c
sas tak«akÃpÃditakaïÂhabhÆ«o  Pnc_9.55c
sas tadvayasyÃnihitÃv amanyata  Pnc_7.32d
sas tasyopayÃnÅcakre  Pnc_16.62a
sas tÃta Óailendrabharak«ama÷ k«aïÃt  Pnc_13.35c
sas tÃm anÃptek«aïasaæstavÃæ purÃ  Pnc_4.6c
sas tÃæ laÇkÃm ivÃÇgada÷  Pnc_16.67d
sas tÅvrakopasphuritÃdharo 'vadad  Pnc_13.54c
sas tena reje bh­Óam ÃtmanÃ yathÃ  Pnc_13.22d
sahakÃranavÃÇkurÃ÷  Pnc_6.77d
sahajaÓ candramarÅcipak«apÃta÷  Pnc_5.14d
sahate n­patau naiva  Pnc_16.97a
sahabhuvam ivek«ituæ Óriyam  Pnc_15.25b
saha medhÃvini kas tvayÃ vivÃda÷  Pnc_5.61b
saha ramaïair amarÃÇganÃ ramante  Pnc_3.45d
sahasÃ na jagÃda lajjayÃ nu  Pnc_4.61c
sahasÃnyathÃ rahasi mantribodhita÷  Pnc_10.31c
sahasÃ vÃrivihaÇgamÃvaluptam  Pnc_5.67b
sahasÃ vihÃya kalahaæsapaÇktaya÷  Pnc_15.6d
sahasÃ sundari yad yad ujjhitam  Pnc_12.29b
sahasÃ sundari sandhyayÃ gatam  Pnc_12.39d
sahasÃ suvarïasikatÃÇkite pathi  Pnc_10.59d
sahasÃ h­daye tasyÃ  Pnc_6.2a
sahase nÃvinayÃæÓam ity avaimi  Pnc_5.71b
sahasaiva nilÅyate  Pnc_2.60d
sahasaiva phaïabh­tÃæ pravi«ÂÃ  Pnc_5.22c
sahasaiva hemaÓatapatravÃrtayÃ  Pnc_10.55d
sahasaivÃtithi÷ prÃpta÷  Pnc_11.27a
sahasrakÅrïeva raïÃÇgaïorvÅ  Pnc_17.18d
sahasraraÓmer iva vÃlakhilyÃ  Pnc_14.7c
sahasraÓa÷ khe calitÃni paÓyan  Pnc_14.6c
sahasraÓa÷ Óastrabh­tÃæ ÓirÃæsi  Pnc_17.22b
sahasraÓa÷ ÓoïitaÓÅkarÃrdrÃ÷  Pnc_17.19b
sahÃmunÃ kiæcidupÃntavartinÃ  Pnc_4.39a
sa hiraïyamayam Ãsanam  Pnc_16.77b
sahemakavaca÷ pumÃn  Pnc_11.68d
sahemaÓ­ÇkhalÃ÷ ÓvÃna÷  Pnc_2.14a
sahelam abhyuddharatÃ dharitrÅæ  Pnc_1.60a
sahyÃ malayavÃyava÷  Pnc_6.69d
saæchÃditaæ kim api pÃïitale dadhÃna÷  Pnc_18.49b
saædadhe dhanu«i yÃvad ÅÓvara÷  Pnc_8.51b
saædhyeva divÃkara÷  Pnc_11.26d
saæprÃpa p­thivÅpÃla÷  Pnc_11.15a
saærabhya rÃhor iva cakrapÃïi÷  Pnc_17.38c
saævÃdinya÷ pade pade  Pnc_11.9b
saævÃhanaikacaturo niculÃnilas te  Pnc_4.62d
saævÃhayantÅ kalahaæsanÃdam  Pnc_9.1b
saævÅtadehakavalÅk­tapannagÃya  Pnc_18.20b
saæve«ÂyamÃïÃ paritaÓ cakÃsti  Pnc_1.45b
saæsargam ÃsÃdya vilÃsinÅnÃæ  Pnc_1.53a
saæhatir jalamucÃæ tirodadhe  Pnc_8.13d
sa÷ kÃlarÃtrer iva kaÇkaïÃni  Pnc_17.61d
sa÷ kilÃ¤citacÃÂur Ãnayat  Pnc_12.68c
sa÷ kilÃdhyÃsta tayÃ yuvÃnvita÷  Pnc_12.67d
sa÷ kilÃpat phaïirÃjakanyayÃ  Pnc_12.75d
sa÷ kilÃmbhojamukhÅm avocat  Pnc_12.15d
sa÷ kuraÇgad­Óeva nidrayÃ  Pnc_12.7c
sa÷ kuraÇgam alokata  Pnc_2.34d
sa÷ kÆlopÃntavicaran-  Pnc_11.15c
sa÷ krudhÃ nibh­takarïapallava÷  Pnc_8.54d
sa÷ k«mÃpatir jhaÂiti jÆÂa ivÃ«ÂamÆrte÷  Pnc_13.64d
sa÷ pari«vaÇgam ivendumaï¬alam  Pnc_12.16d
sa÷ pratasthe mahÅnÃtha÷  Pnc_11.1c
sa÷ prapede pinÃkina÷  Pnc_2.38d
sa÷ ÓarÃpÃtabhÅtena  Pnc_2.41a
sa÷ ÓriyevÃnvagamyata  Pnc_2.37b
sa÷ saÇgataæ yan m­gaÓÃvacak«u«a÷  Pnc_13.2a
sa÷ sarasvatÅmukhararatnanÆpura-  Pnc_10.41c
sa÷ sahÃro vihagas tvayÃ nu d­«Âa÷  Pnc_5.42d
sÃkaæ phaïÅndrasutayÃmbararodhikambu-  Pnc_18.61c
sÃ kÃpi saubhÃgyaviÓe«alak«mÅ÷  Pnc_1.41b
sÃ kilÃnaÇgamohitÃ  Pnc_6.110b
sÃ kena nÅtÃ phaïirÃjakanyÃ  Pnc_9.33b
sÃk«ataæ sadadhidÆrvayÃ¤citaæ  Pnc_8.72c
sÃ ca trijagatÃæ bhartur  Pnc_16.94c
sÃ ca do÷ÓayitabhuvÃ  Pnc_6.46a
sÃcikÃrmukalatÃm alokata  Pnc_8.12b
sÃcimukulitad­ÓÃ dad­Óe  Pnc_15.12c
sÃcirÃæÓutapanÅyamekhalÃ  Pnc_8.13a
sÃcivyaæ menaketunÃ  Pnc_6.18b
sÃÂopam ÃropitacÃpayÃ«Âir  Pnc_17.6a
sÃ tata÷ p­thivÅbhujÃ  Pnc_16.51b
sÃtanuÓvasanasp­«Âa-  Pnc_6.6a
sÃ tena reje hÃreïa  Pnc_6.112c
sÃ te samÃptÃdbhutasÃhasasya  Pnc_9.61a
sÃdhuvÃdam iva narmadÃ dadau  Pnc_8.42d
sÃ narendratilakaæ tam aik«ata  Pnc_8.2c
sÃnugraheïa mama cedam adÃyi tena  Pnc_18.52d
sÃnÆni yasya sevante  Pnc_11.61c
sÃndrapremÃrdracetase  Pnc_16.19b
sÃndramadhuparimalaÅ ruruce  Pnc_15.50c
sÃndram­gamadanama«Åracitaæ  Pnc_15.42c
sÃndraruciyuvajano madirÃæ  Pnc_15.64c
sÃndrasmarajvarapipÃsitayÃ tayÃpi  Pnc_18.38c
sÃndrasvedajalÃÇgule÷  Pnc_2.73b
sÃndrÃnurÃgapiÓunÃ÷ paraÓu÷ pare«Ãm  Pnc_18.14a
sÃndrÃndhakÃrÃntaritaæ raïe ya÷  Pnc_1.74b
sÃndrocchaladhvani jagur jayamaÇgalÃni  Pnc_17.72d
sÃndronmÅlatsaurabhÃïy udvahantyo  Pnc_15.71a
sÃnyaiva ghaÂitÃbhavat  Pnc_6.50d
sÃpade 'tha bhujagendrakanyakÃ  Pnc_8.1a
sÃ pÃÂalÃvidhutacÃmaramÃrute«at-  Pnc_18.37a
sÃpi mÅlitavilocanÃbhavat  Pnc_8.7d
sÃ puïyamÆrtijananÅ jagatsu  Pnc_9.5b
sÃ puno na sulabhety asau ÓucÃ  Pnc_8.19c
sÃ purÃtanapathena pÃvanÅ  Pnc_8.14a
sÃ puro mama h­teti lajjayÃ  Pnc_8.19a
sÃ bÃlÃdharapallave  Pnc_6.43b
sÃ bÃlikÃbhÆd avarÃ varÃpi  Pnc_9.46b
sÃ mahÅmÅnalak«maïa÷  Pnc_16.109d
sÃ muhus taraled­Óau  Pnc_6.7b
sÃ mekalak«mÃdhararÃjakanyÃ  Pnc_9.1d
sÃmrÃjyabhÃrodvahanapragalbho  Pnc_1.89a
sÃyakaæ kanakapuÇkham Ãdade  Pnc_8.34d
sÃyantana ivÃnila÷  Pnc_6.38d
sÃyamadriÓikharÃd ivÃryamÃ  Pnc_8.38d
sÃyam abdhim ivÃryamÃ  Pnc_2.94d
sÃraÇgÃk«ya÷ preyasÃæ kaïÂhalagnÃ÷  Pnc_15.71d
sÃraÇgÃyatalocana÷  Pnc_2.36d
sÃrasvataæ ÓÃÓvatam Ãvir astu  Pnc_1.4b
sÃlaktakapadÃÇkitam  Pnc_16.57b
sÃlaktakÃ÷ prÃv­«i pÃdamudrÃ÷  Pnc_1.56d
sÃ lak«yate kiæ cid anirv­teva  Pnc_9.23b
sÃvaÓe«ajalanÅlakoÂibhi÷  Pnc_8.61c
sÃvahittham athetthaæ sÃ  Pnc_6.17a
sÃvidhyata sumadhyamÃ  Pnc_6.49b
sÃ vilÃsavasati÷ ÓaÓiprabhÃ  Pnc_8.76b
sÃÓrulekhÃd apÃsyata  Pnc_11.70d
sÃ sakhÅbhir alak«yata  Pnc_6.51d
sÃ sanÃthÃ purÅ  Pnc_6.23c
sÃ sÃraÇgÃyatalocanÃ  Pnc_6.48b
sÃ somasÆti÷ sarid ity uvÃca  Pnc_9.35b
sÃhasavyasanino 'pi tÃd­ÓÃ÷  Pnc_8.31d
sÃhasÃÇkanirÆpyate  Pnc_6.18d
sÃhasena parito«itai÷ surair  Pnc_8.40c
sÃhasodadhivilo¬ane svayaæ  Pnc_8.9a
sÃ hÃrahastÃ ruruce  Pnc_6.100a
sikte tadÃbhavat tasyÃ÷  Pnc_6.103c
sitacak«u«Ãm asitaratna-  Pnc_15.5a
sitacÃmaradhÃraïe niyuktÃæ  Pnc_5.40a
sitacchatraparampara÷  Pnc_2.11b
sitacchadÃdÃptam ito vibhÆ«aïam  Pnc_4.25b
sitacchado locanagocaraæ gata÷  Pnc_4.35d
sitaprasÆnastabakais tarÆïÃm  Pnc_14.29a
sitamaïimayasÆcinirmitasya  Pnc_3.9c
sitamaïimaye yasminn anto bahiÓ ca m­gÅd­Óa÷  Pnc_14.87d
sitam abhinavahemadaï¬aÓobhi  Pnc_3.49c
sitam aæse ca cÃmaram  Pnc_6.99d
sitameghÃd iva tÃrakÃvitÃnam  Pnc_5.65b
sitaratnadarpaïanibhÃsu lebhire  Pnc_15.7d
sitÃtapatratvam uda¤cad Ãpa  Pnc_17.63c
sitÃtapatrair iva sarvato v­ta÷  Pnc_4.31b
sitÃravindacchadadÅrghalocana÷  Pnc_4.28b
sitÃÓmavÃtÃyanapaÇktir eti  Pnc_1.23b
sitÃÓmaharmyam uttuÇgaæ  Pnc_16.6a
sitÃæÓukÃ kÃm api kÃntim aÓnute  Pnc_4.16b
sitetarendÅvaramecakÃ÷ kva cit  Pnc_13.45b
siddhavidyÃdharoragai÷  Pnc_2.54b
siddhi÷ sÃhasikasya te  Pnc_11.115b
sinduvÃrasya ma¤jarÅ  Pnc_6.74d
sindÆrapÆrÃruïagaï¬abhitti  Pnc_17.4b
sindÆrareïur dviradÃnanasya  Pnc_1.3b
SindhurÃja iti vyaktaæ  Pnc_11.101c
SindhurÃjasya sÃyaka÷  Pnc_6.11d
sindhos taÂe sa÷ padam ekapade cakÃra  Pnc_18.57b
siæhadvÃram avÃpa sa  Pnc_16.70d
siæhÃsanenÃtitarÃæ bibharti  Pnc_1.43d
siæhÃsane manmathapÃrthivasya  Pnc_10.66d
siæhÃsanair manmathapÃrthivasya  Pnc_14.17b
SÅtÃ yathÃ daÓarathe÷ salÅlam  Pnc_9.61c
SÅtocchvasitahetunÃ  Pnc_11.77b
sÅmantitam ura÷sthalam  Pnc_11.33b
sÅmantitÃdhara÷ smitvÃ  Pnc_16.84c
sÅmantitÃbhrapaÂala÷ ÓaÓikÃntaÓailam  Pnc_18.66b
sÅmantitÃmbupaÂalena pathÃ sasainya÷  Pnc_18.56d
sÅmantinÅcaÂulanÆpurakÃ¤cinÃda÷  Pnc_18.54b
sÅmantinÅnÃæ nayanotpalÃni  Pnc_14.73d
sÅmantinÅnivahasasmitavÅk«itÃyÃ÷  Pnc_14.86b
sÅmÃ satÅtiÓabdasya  Pnc_11.17a
sukumÃre tavÃpy aÇge  Pnc_6.59c
suk­tanidhÃna! bhavi«yata÷ Óubhasya  Pnc_3.29d
suk­«ïatÃreïa tu«ÃrapÃï¬unÃ  Pnc_7.16b
sukham Ãtmakarmaïi ratÃ nayanti yat  Pnc_10.23b
sukhaæ sadaivÃsurajit samudre  Pnc_9.30c
sukhÃsÅne mahÅbh­ti  Pnc_11.39b
sugandhi toyaæ jaladÃ vamanti  Pnc_1.53d
sugandhipavanaæ vanam  Pnc_16.64d
sugandhibhis tÅrataruprasÆnai÷  Pnc_1.44b
sugandhibhi÷ pÃÂalipÃdapena  Pnc_14.55c
sugandhihÃrÃd anulepanaæ kare  Pnc_4.4a
suciram uda¤citadÅrghapak«mamÃle  Pnc_6.118b
sujanam iva guïair upo¬haÓobhaæ  Pnc_3.54a
sujÃtakÃÂhiïyapayodharÃ÷ sp­hÃm  Pnc_13.41a
sutanu tryaÓruvilokitaæ tava  Pnc_12.18d
sutanu tvayÃ mayi ca pu«padhanvanÃ  Pnc_10.57d
sutanus tÅratale 'vati«Âhate sÃ  Pnc_5.56b
sutanu÷ sneharasÃrdratÃm upaitu  Pnc_5.76d
sutanu÷ snehavaæÓavadena pitrÃ  Pnc_5.26b
sutarÃæ nÃma sakhÅbhir ÃÓugeti  Pnc_5.23d
sutÅk«ïayÃ vartikayeva cintayÃ  Pnc_4.6b
sudati tvadapÃÇgapaÂale  Pnc_12.35c
sudati svedalavÃrdrapatrayÃ  Pnc_12.19b
sud­Óa÷ ÓamavÃripaÇkilÃt  Pnc_12.71c
sud­Óa÷ sa÷ karÃtithi÷ Óara÷  Pnc_12.5c
sud­Óa÷ sa÷ kilÃnyataÓcutaæ(?)  Pnc_12.78a
sud­Óa÷ sphuÂaæ navanakhÃÇkam  Pnc_15.24a
sud­Óa÷ svinnakapolam Ãnanam  Pnc_12.69d
sud­ÓÃm anaÇgamadadÅpanaæ paya÷  Pnc_15.32d
sud­ÓÃæ nimajjya surasindhu-  Pnc_15.9a
sud­ÓÃæ madÃd atha parisrud  Pnc_15.66a
sudhayeva ni«i¤catÅ  Pnc_6.52d
sudhÃgaï¬Æ«abandhunÃ  Pnc_16.45d
sudhÃni«yandaja¬ayÃ  Pnc_6.17c
