Angirasasmrti
Based on the ed. by A.N. Krishna Aiyangar: âõgirasasmçti,
Madras : Adyar Library 1953 (Adyar Library Series, 84)



Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akalpà pariùadyatra  Ang_2,6.2a
÷ràddhànte và paredyurvà  Ang_1.1083c
÷ràddhànte vidhinà kàryaü  Ang_1.882c
÷ràddhànyetatsamàni vai  Ang_1.489b
÷ràddhàyàgniü susaüskriyàt  Ang_1.1021d
÷ràddhàrthamiti ni÷citya  Ang_1.1017c
÷ràddhe gopyàni kàrayet  Ang_1.874d
÷ràddhenàpi kçtena vai  Ang_1.623d
÷ràddhe pàkasamàrambhe  Ang_1.25c
÷ràddhe yàvanta uddiùñàs  Ang_1.718c
÷ràddheùu keùucitkàla-  Ang_1.575a
÷ràddhe sapta pavitràõi  Ang_1.906a
÷ràddhaikakaraõà÷aktà  Ang_1.574c
÷ràvayitvàkhilaü tataþ  Ang_1.216b
÷rãparõaü ÷rãkaraþ ÷amã  Ang_1.509b
÷rãmàn satyaparàyaõaþ  Ang_2,2.6b
÷ruïgabhaïge 'sthibhaïge ca  Ang_2,10.11a
÷rutito brahmavàdinaþ  Ang_1.618d
÷rutipàràyaõaü yadvà  Ang_1.155a
÷rutimålàni te purà  Ang_1.1108b
÷rutyuktametadeva syàd  Ang_1.617a
÷rutyuktaliïloñtavyapra-  Ang_1.4a
÷rutyukto 'yaü pitþõàü syàd  Ang_1.615c
÷rutvà pa÷càcchrotriyebhyaþ  Ang_1.216a
÷rutvà smçtvà ca vai dvijàþ  Ang_2,12.1d
÷rotriyasya bhavedidam  Ang_2,9.8d
÷rotriyasyàgnihotriõaþ  Ang_2,9.3d
÷rotriyaü vedinaü ÷ucim  Ang_1.770d
÷rautasmàrtakriyàdakùaþ  Ang_1.232c
÷vabhre saüchàdya dharmataþ  Ang_1.220b
÷va÷uràya ÷yàlakàya  Ang_1.689c
ùañsaptàùñanavàdikàþ  Ang_1.18d
ùañsu càcamanaü smçtam  Ang_1.782d
ùaóabdaü kçcchramucyate  Ang_1.186d
ùaóabdaü ùaóguõatvena  Ang_1.1065a
ùaóa÷ãtimukhaü j¤eyaü  Ang_1.640c
ùaóa÷ãtyàü vyatãtàyàü  Ang_1.647a
ùaóahaü madhyamàcaret  Ang_2,9.9d
ùaóete bhikùukàþ smçtàþ  Ang_2,9.9d
ùaóguõenaiva saüyutam  Ang_1.187d
ùaódaivatyastu dar÷aþ syàd  Ang_1.662a
ùaódaivatyaü tu sarvatra  Ang_1.699c
ùaódaivatyàni kàni syur  Ang_1.661a
ùaódaivatyena saüyutam  Ang_1.703b
ùaóvàraü darbhapu¤jataþ  Ang_1.884d
ùaóvidho 'pi mahàlayaþ  Ang_1.700b
ùaóviü÷atikasaükhyayà  Ang_1.656d
ùaõõavatya itãritàþ  Ang_1.612b
ùaõõavatyatvasaükhyàyai  Ang_1.691c
ùaõõavatyaþ prakãrtitàþ  Ang_1.606d
ùaõmàsànatha yo bhuïkte  Ang_2,8.8a
ùaùñiruktàþ praõàóikàþ  Ang_1.647b
ùaùñhe kàle 'sya bhojanam  Ang_2,11.1d
ùaùñhyantenàsanaü dadyàt  Ang_1.791a
ùoóa÷aprabhçti smçtàþ  Ang_1.928d
ùoóa÷a÷ràddhatulitaü  Ang_1.488a
ùoóa÷a÷ràddhabhu¤jàna-  Ang_1.950c
ùoóa÷àntaü pçthakkçtvà  Ang_1.995a
ùoóa÷e sàrdhavarùaü tu  Ang_1.761c
ùoóa÷aiveti kecittu  Ang_1.658a
ùoóhà tàþ kathitàþ sadbhir  Ang_1.659a
-ùñhàtà yo bràhmaõottamaþ  Ang_1.624d
sa u tyaktapità j¤eyas  Ang_1.1067c
sa u bhraùñapità smçtaþ  Ang_1.1061d
sa eva kathitaþ sadbhir  Ang_1.544c
sa eva karmacaõóàlas  Ang_1.626a
sa eva pitçkçtyeùu  Ang_1.430a
sakaõóakabçhatyastà  Ang_1.580c
sakalãkaraõe càtra  Ang_1.168a
sakçtpakùeõa và pårva-  Ang_1.704c
sakçtsnàtvà payaþ pibet  Ang_2,12.2b
sakçdàcchinnadarbheùu  Ang_1.853c
sakçdàcchinnamantreõa  Ang_1.852c
sakçdeveti tajjàmi-  Ang_1.786a
sakçnmahàlayasya te  Ang_1.717d
sakçnmahàlayaþ so 'yaü  Ang_1.701c
sakçnmahàlaye tu cet  Ang_1.711d
sagotrà evameva vai  Ang_1.410b
sagotreùvathavà kàryo hy  Ang_1.305a
sagotreùveva kurvãta  Ang_1.358c
sagotryasaümataþ sånur  Ang_1.427a
sa gohatyàtmakàt pàpàn  Ang_2,11.9c
sa ghoùo bràhmaõaiþ kartuü  Ang_1.819a
sa ca sarvasya devatà  Ang_2,12.14d
sa càpi gotribhistulyo  Ang_1.149c
sacelaü vàgyataþ snàtvà  Ang_2,2.7a
satataü guruvatsalaþ  Ang_1.592b
satataü dharmatatparau  Ang_1.421b
satataü brahmaõi sthitaþ  Ang_1.736b
satataü vedavàdibhiþ  Ang_1.20b
satàmeva hi bandhånàü  Ang_1.137c
sati cettanaye talpe  Ang_1.449a
sati tàte 'thavà na cet  Ang_1.418d
sati dattasute tasmàt  Ang_1.440a
satilairvidyate ÷ràddhaü  Ang_1.1109a
satkarõãti ca kalyàõã  Ang_1.458c
sattiyogava÷àccaret  Ang_1.1033b
satpàtre samanuj¤àtaü  Ang_2,8.13a
satyanyàtanaye tàvan-  Ang_1.439a
satyameva parà gatiþ  Ang_2,3.2d
satyasaüj¤ikanàmakàþ  Ang_1.671b
satyaü tvartena vidhinà  Ang_1.824a
satyaü bråyàda÷eùataþ  Ang_2,3.5b
satyena dyotate raviþ  Ang_2,3.1b
satyena dyotate ràjà  Ang_2,3.1a
satyena dyotate vahniþ  Ang_2,3.1c
satyenaiva vi÷udhyanti  Ang_2,3.4a
satye sarvaü pratiùñhitam  Ang_2,3.1d
satyaurase tatsamo 'yaü  Ang_1.420a
satreùvevaü gataü gatam  Ang_1.38b
satsvauraseùu mukhyatvàt  Ang_1.468a
sa dar÷astàdç÷asyànu-  Ang_1.624c
sadà triùavaõaü snàyàt  Ang_2,12.2a
sadà durbala eva vai  Ang_1.312d
sadànenaiva kurvãta  Ang_1.188a
sadà svastho na laïghayet  Ang_1.322b
sadaivikàni khyàtàni  Ang_1.683a
sadoùakaü ca sadveùaü  Ang_1.743c
sadbhirukto 'thavà gçõan  Ang_1.1058d
sadya eva na saü÷ayaþ  Ang_1.882d
sadya eva piturdrohã  Ang_1.604c
sadya eva prakartavyam  Ang_1.176c
sadya eva prakartavyaü  Ang_1.1074a
sadya eva bràhmaõebhyo  Ang_1.550a
sadya eva vimuktaþ syàt  Ang_1.160a
sadya eva ÷ucirbhavet  Ang_2,9.14d
sadya÷caõóàlatàü vrajet  Ang_1.109d
sadya÷caõóàlatàü vrajet  Ang_1.122d
sadya÷caõóàlatàü vrajet  Ang_1.211b
sadya÷cedvamanaü tanna  Ang_1.175c
sadyaþ pakvaü bhaveddhi vai  Ang_1.73d
sadyaþ patati varõataþ  Ang_1.338b
sadyaþ patnyàdibhirvçtaþ  Ang_1.486b
sadyaþ putràdhiko bhavet  Ang_1.442d
sadyaþ ÷àpapradànàyod-  Ang_1.715a
sadyaþ ÷ràddhàïgatarpaõam  Ang_1.880b
sadyaþ stanyarasagrahàt  Ang_1.405b
sadyo de÷àntaraü vrajet  Ang_1.52b
sadyo de÷àntare pitroþ  Ang_1.51a
sadyo naùñà bhaveyurhi  Ang_1.833a
sadyo niþsaü÷ayaþ pàpo  Ang_2,2.2a
sadyomålaþ paõyamatiþ  Ang_1.526a
sadyo vilayamàyànti  Ang_1.902a
sadyo vilayameti vai  Ang_1.24d
sadyo vilayameùyati  Ang_1.99b
sadyo hainyamavàpnoti  Ang_1.436a
sadyo hainyaü ÷rutãritam  Ang_1.433b
sa dharmastu kçto j¤eyaþ  Ang_2,1.6a
sanirukte 'ïgavidbhavet  Ang_2,5.4d
santataü såtakàdinà  Ang_1.66d
santatirdàtureva hi  Ang_1.340d
santatau tatparaüparàm  Ang_1.1006d
sapaïktau bhojanaü tathà  Ang_1.219b
sapatnãjananãtàto  Ang_1.396c
sapatnãjananã nitya-  Ang_1.397a
sapatnãmàtureva ca  Ang_1.723d
sapatnyà và 'sapatnyà và  Ang_1.979a
saparyàü tàü tadàcaret  Ang_1.886b
sapavitrakarastathà  Ang_1.772d
sapàdyàrghyagandhadhåpa-  Ang_1.685a
sapiõóakamapiõóaü và  Ang_1.1031c
sapiõóànãtaràõi ca  Ang_1.690d
sapiõóãkaraõakriyà  Ang_1.998d
sapiõóãkaraõaü yadi  Ang_1.879d
sapiõóãkaraõe pituþ  Ang_1.1004d
sapiõóe ca dvivatsaram  Ang_1.761d
sapiõóeùu sute yadi  Ang_1.336d
saptatyårdhvaü tu cettasyàþ  Ang_1.61a
sapta nadyaþ prakãrtitàþ  Ang_1.930b
saptamãprabhçti hyevaü  Ang_1.923c
saptasveteùvacyuta÷ced  Ang_1.504c
saptaite parikãrtitàþ  Ang_2,4.4b
sa pranaùñaprasårnityaü  Ang_1.720a
sa preto na sahiùyati  Ang_1.96b
sa bhavetkiü tu sa smçtaþ  Ang_1.701d
samagopucchalomàni  Ang_1.57a
samantràü mekhalàü tathà  Ang_2,11.3d
samantreõàtra tatra cet  Ang_1.471b
samabhàgaþ sadà proktas  Ang_1.377a
samameva labhante 'ü÷am  Ang_1.413a
samayàdatha tàdç÷aþ  Ang_1.1062d
samarthastu yathàkalpaü  Ang_1.732c
samavàpnoti bandhånàü  Ang_1.125c
samastasaüpatsamavàptihetavaþ  Ang_2,12.16a
sa mahàlayakçdbhavet  Ang_1.705b
samàgataü mahàprahvaü  Ang_1.589c
samàgataü samàpyà ' 'dau  Ang_1.31a
samàgatàtpunaþ proktaþ  Ang_1.851a
samàgate tadà samyag  Ang_1.343c
samàgate såtake 'pi  Ang_1.102c
samàgatyàticapalàt  Ang_1.587a
samàgatyàtisatvaram  Ang_1.563d
samàcarettataþ svasya  Ang_1.223a
sa mànasaþ syàtsaükalpaþ  Ang_1.269c
samànodakasaüj¤à÷ca  Ang_1.677a
samàyànti manovegàt  Ang_1.867a
samàrabhya kriyàþ kàryàs  Ang_1.1106c
samàrambhàttu tanmatam  Ang_1.82b
samàrambho vidhãyate  Ang_1.75b
samàlokayatetaràm  Ang_1.562d
samàlokyaiva ÷àstràõi  Ang_1.1108a
samàlocya kùaõàtparam  Ang_1.559d
samàlocya vidhànena  Ang_1.411c
samà÷rityaiva santatam  Ang_1.496d
samàhåtàstadà sadyo  Ang_1.866c
samãkùya varayetsamyag  Ang_1.772a
samãcãnaü tilaiþ kuryàt  Ang_1.1100a
samãcãnàni vaståni  Ang_1.1017a
samãpe kartari sthite  Ang_1.148b
samãpe tatpuraþ sthitaþ  Ang_1.841b
samuccàrya kriyàü kuryàn  Ang_1.121c
samuccàrya puna÷caiva  Ang_1.811c
samutthitàpatkulakùmaketavaþ  Ang_2,12.16b
samuddi÷ya ca pràkçtam  Ang_1.774d
samudbhåtai÷ca romabhiþ  Ang_1.61d
samudyuktàya pàtuü taj  Ang_1.562a
samunneyaü vicakùaõaiþ  Ang_1.212b
samupakràntakarmaõaþ  Ang_1.101d
samupakràntakarmaõaþ  Ang_1.102d
samupaspar÷anaü punaþ  Ang_1.825d
samupaspar÷ayitvàtha  Ang_1.825a
sa mçtaþ sukhabhàgalam  Ang_1.473b
sa mau¤jidatta ityàkhyas  Ang_1.330c
samau dattasya saütatam  Ang_1.436d
samyakkàrayituü nyàyyaü  Ang_1.461a
samyak pitçtvamàpnoti  Ang_1.467a
samyagàlocanãyo 'to  Ang_1.846a
samyagbhu¤jãta vai pårvaü  Ang_1.1092c
samyagbhåyaþ samàcaret  Ang_1.133b
sarasvatã vi÷okà ca  Ang_1.919c
saritaþ kà÷canàparàþ  Ang_1.923d
saridagnisuvarùmaõaþ  Ang_1.499b
sarvakçchravratàdiùu  Ang_1.169d
sarvakçtyevu sarvatra  Ang_1.166c
sarvakçtyeùu vacmi vaþ  Ang_1.153b
sarvatyàgena ÷udhyati  Ang_2,10.19b
sarvatra vçddha÷abda÷ca  Ang_1.671c
sarvatraivaü prakathitaü  Ang_1.1042c
sarvatraivaü vijànãyàt  Ang_1.805a
sarvatraivaü vidhãyate  Ang_1.788b
sarvatraivaü samàkhyàtà  Ang_1.693a
sarvatraivaü hi nirõayaþ  Ang_1.396b
sarvatraivàtmatuùñiþ syàd  Ang_1.1044c
sarvadà sarvasaüvçddho  Ang_1.600a
sarvadevasvaråpasya  Ang_1.498c
sarvadevàdiråpiõaþ  Ang_1.114b
sarvade÷ottamottamaþ  Ang_1.1112b
sarvadaivaü samàkhyàto  Ang_1.438a
sarvadoùaharaü param  Ang_1.89b
sarvadrohã sa eva hi  Ang_1.605b
sarvanàmaphalaü labhet  Ang_1.157b
sarvanetrapriyo 'ni÷am  Ang_1.599d
sarvapàpapra÷amanã  Ang_1.10c
sarvapràõairvimokùayet  Ang_2,11.6d
sarvabhogavivarjitaþ  Ang_1.975b
sarvamaïgirasà tadà  Ang_2,1.4b
sarvamatyà samantrataþ  Ang_1.307b
sarvamantramayasya ca  Ang_1.498d
sarvamannaü praveùñayet  Ang_1.959b
sarvayaj¤amahàtãrtha-  Ang_1.499a
sarvalokaikapàvanã  Ang_1.921d
sarva÷eùaü samàdàya  Ang_1.75c
sarva÷ràddhanidànake  Ang_1.541d
sarva÷ràddhavilakùaõam  Ang_1.679d
sarva÷ràddheùu pitaraþ  Ang_1.1103a
sarva÷ràddheùvanenàtha  Ang_1.393c
sarvasaukhyàya kevalam  Ang_1.848d
sarvasya pratimantrasya  Ang_1.308c
sarvasvarõapadairvàcyà  Ang_1.454c
sarvasvaü tasya gçhõãyàt  Ang_1.367a
sarvaü kàrayitavyaü syàt  Ang_1.471a
sarvaü j¤àtvà vidhàsyàmi  Ang_1.583a
sarvaü vyàhàtebhirdadyàt  Ang_1.802a
sarvaü samyakparityàjyaü  Ang_1.850a
sarvàõi kuryàcchràddhàni  Ang_1.733a
sarvàõi pçthageva syuþ  Ang_1.731a
sarvàõyanuùñhitàni syur  Ang_1.622a
sarvàõyapi kçtàni syur  Ang_1.617c
sarvàõyapi kçtànyevety  Ang_1.624a
sarvàõyetàni ÷iùñànàm  Ang_1.842a
sarvàdyanteùu satreùu  Ang_1.170a
sarvà nadyo rajasvalàþ  Ang_1.917b
sarvàn màtàmahàn kramàt  Ang_1.393d
sarvàbhàve vi÷eùeõa  Ang_1.1103c
sarvàvilaharàõyapi  Ang_1.158b
sarvà÷ramanivàsinàm  Ang_1.296d
sarvàsàü saritàmapi  Ang_1.937b
sarvàstàþ kathitàþ sadbhir  Ang_1.936c
sarve kaõñakaråpeõa  Ang_1.496c
sarve càpi pitàmahàþ  Ang_1.32d
sarveùàmapi tanmatam  Ang_1.46d
sarveùàmapi varõànàü  Ang_1.296c
sarveùàü karmaõàmàdyà  Ang_1.1110a
sarveùàü ni÷citaü yatsyàd  Ang_2,3.9a
sarveùàü vratakçchràõàü  Ang_1.29c
sarveùvapi ca tãrtheùu  Ang_1.198a
sarveùvà÷aucakarmasu  Ang_1.169b
sarveùvevàvakà÷eùu  Ang_2,9.13c
sarvopàyaprayatnena  Ang_2,12.15c
sarùapaiþ sarvadhànyakaiþ  Ang_1.88b
savarõeùveva kurvãta  Ang_1.337c
savàsà jalamàvi÷et  Ang_1.172d
sa vikalpã bhaveddvijaþ  Ang_2,5.3d
savyameva bhaveddhi vai  Ang_1.1076b
savyaü puõóralalàñaü ca  Ang_1.668c
sa ÷ådragatibhàgbhavet  Ang_2,8.9d
sasatre dànadharme ca  Ang_2,9.9a
sa svãkçtaþ ÷ràddhatithir  Ang_1.1046a
saha màtuþ sapiõóakam  Ang_1.995d
saha và bhojanaü duùñaü  Ang_1.219c
sahasraguõiteùvapi  Ang_2,4.8d
sahasraü mahadàdiùu  Ang_2,7.7b
sahasraü yadi bhaktitaþ  Ang_1.182d
sahasrairudakumbhakaiþ  Ang_1.87b
sahiùõurna bhavettasmàt  Ang_1.302a
saükalpakaraõe 'pi và  Ang_1.948b
saükalpavidhinànvaham  Ang_1.877b
saükalpastu na tasya vai  Ang_1.22b
saükalpaü prathamaü caret  Ang_1.775b
saükalpaþ prabhaveddhi vai  Ang_1.807d
saükalpàdi samàcaret  Ang_1.135b
saükalpo nànyathàcaret  Ang_1.851b
saükalpo mukhyataþ smçtaþ  Ang_1.684b
saükãrõamava÷àdyàti  Ang_1.339c
saükrattimàtràþ kathità  Ang_1.656a
saükramà dvàda÷a smçtàþ  Ang_1.639d
saükramà dvàda÷a smçtàþ  Ang_1.645d
saükràntiùu ca vçddhike  Ang_1.584b
saükràntiùvakhilàsvevaü  Ang_1.644a
saükràntãnàü ca kçtsna÷aþ  Ang_1.650d
saükràntau dakùiõàyane  Ang_1.648b
saügacchate pitçtvaü ca  Ang_1.114c
saügave tu na tu pràtaþ  Ang_1.284a
saügçhõãyàdaputrakaþ  Ang_1.1009d
saügçhya sthàpayedyatnàd  Ang_1.1014a
saügrahaþ kàrya eva vai  Ang_1.314b
saügràhyaþ ÷ràddhakarmasu  Ang_1.603d
saügràhyo bhava sarvatra  Ang_1.599c
saüghàtà÷aucinastataþ  Ang_1.48d
saüjàte tvaurase punaþ  Ang_1.364d
saütàryaþ sarva eva hi  Ang_2,5.14d
saüdhyàtraye sahasràõi  Ang_1.201c
saüdhyàmàtraü prakurvãta  Ang_1.47c
saüdhyà sà syàjjale kriyà  Ang_1.49b
saünyaste patite tàte  Ang_1.108a
saüpadyantàü svadhà÷ceti  Ang_1.891c
saüparistãrya vidhinà  Ang_1.808c
saüpàdayanti yatnena  Ang_1.535a
saüpàdità bhaviùyanti  Ang_1.319a
saüpràptamapi tacchràddham  Ang_1.39a
saüpràpte càvagàhanàt  Ang_1.920b
saüproktastu çce tveti  Ang_1.889c
saübabhåva tadàdi vai  Ang_1.533d
saübudhyoccàrya tatparam  Ang_1.790b
saübhavantu na cànyeùu  Ang_1.585c
saübhàntyatha mçtàhasya  Ang_1.75a
saüyujya vidhivatpunaþ  Ang_1.977d
saüyujya vidhivatpunaþ  Ang_1.996b
saüvatsaraü prayatnena  Ang_1.197a
saü÷ayasya vi÷eùataþ  Ang_1.295d
saü÷aye na tu bhoktavyaü  Ang_2,2.3a
saüskàrairmantrapårvakaiþ  Ang_2,4.10d
saüskàryàõi suto na cet  Ang_1.437b
saüskuryàttadvyatikrame  Ang_1.41d
saüskuryàttasya kevalam  Ang_1.1066d
saüskuryàdyadi kàmataþ  Ang_1.123b
saüskçta÷càdhyàpita÷ca  Ang_1.1049c
saüskçtasyaiva karmabhiþ  Ang_1.161b
saüskçto yadi tadvçtaþ  Ang_1.310d
saüstãryaiva tataþ punaþ  Ang_1.852d
saüspar÷e homavismçtau  Ang_1.947d
saühitàpañhanaü sakçt  Ang_1.156b
sà çgvà vaiùõavã ÷ivà  Ang_1.10b
sà kalà pãyate hi taiþ  Ang_1.1102b
sàkùàdannasya muktirna  Ang_1.49a
sàkùànnàràyaõàtmakaþ  Ang_1.159b
sàkùiõàü purato nånaü  Ang_1.388a
sàkùito vahnisàkùitaþ  Ang_1.250b
sà kùetraü prabhaveddhruvam  Ang_1.217b
sà gaïgeti ca phaõyate  Ang_1.942b
sà càtrà ' 'vàhanaü matam  Ang_1.684d
sàcàraþ sàgnihotrã ca  Ang_1.736c
sà cedbhartçdvayaü tyaktvà  Ang_1.203c
sà tena saha piõóanam  Ang_1.976d
sàdhakàya bhavenna tu  Ang_1.847d
sàdhån samyak prapåjayet  Ang_1.376b
sàdhvã ÷udhyati nànyathà  Ang_1.224d
sà nitya÷uddhà tadyogàd  Ang_1.908c
sànnidhyaü mçtikàle tu  Ang_1.479a
sàpatnã jananã dåra-  Ang_1.390c
sàpatnãmàtureva ca  Ang_1.1029d
sàpatnãmàtçtanayà  Ang_1.408c
sàpiõóyamanuyàne tu  Ang_1.976a
sàpiõóyasya niråpaõam  Ang_1.676b
sàpiõóyaü dvàda÷e 'hani  Ang_1.995b
sà putraü puùkarasrajam  Ang_1.872d
sà prãtyai paramà smçtà  Ang_1.908b
sà bhogamàtrayogyàpi  Ang_1.218c
sàmyaü kaõñakatastasya  Ang_1.581a
sàyaü saügopanàrthaü tu  Ang_2,10.12c
sàrdra÷ca sapalà÷a÷ca  Ang_2,10.2c
sàrdhayàmatrayaü yàma-  Ang_1.287c
sàrdhasàhasramajjanaiþ  Ang_1.190b
sàrvakàlaü gçhãtavyaü  Ang_2,8.12c
sàvitrãmàtrasàraistu  Ang_2,4.5a
sàvitrãü vyàhçtãü vàpi  Ang_2,12.3a
sà vidyamànà bhàryaiva  Ang_1.401c
sà vai putraistadudbhåtai÷  Ang_1.205a
sà hi pa¤cada÷atvataþ  Ang_1.691d
siddhaü vastu gçhe vasan  Ang_2,9.6d
siddhimanto rujàyatàm  Ang_2,2.5d
sidhyantyeva na saü÷ayaþ  Ang_1.165b
siühakarkañayormadhye  Ang_1.917a
siühe ÷uni varàhe ca  Ang_2,10.15c
sukçtã pitçtàrakaþ  Ang_1.492b
sukhàkaraþ ÷ubhakaro  Ang_1.597c
sutatvàdyanubandhakam  Ang_1.128b
sutabhràtçpitçvyàõàü  Ang_1.1035a
suta÷cejjàtamàtrakaþ  Ang_1.403d
sutasànnidhyameva ca  Ang_1.485b
sutasvãkaraõe yà ''ràt  Ang_1.390a
sutaü bandhuùu vànyeùu  Ang_1.337a
sute gauõasutàþ pare  Ang_1.431d
sute sati sa eva syàt  Ang_1.437c
sudhiyaü satkulodbhavam  Ang_1.771b
sundaraþ parvatà÷rayaþ  Ang_1.523b
suptvà bhuktvà ruditvà và  Ang_1.259a
subhagà mahiùãti ca  Ang_1.458b
sumaïgalãnàü kathitaü  Ang_1.710a
sumahàkùayakàrakaþ  Ang_1.541b
sumahàn prabhavedapi  Ang_1.291b
suràõàmapi caivaü hi  Ang_1.227c
suràpo gurutalpagaþ  Ang_2,7.8b
suråpà và vayo 'dhikà  Ang_1.448b
sulabhàyàvadatkila  Ang_1.997b
såtakatrayato yadi  Ang_1.53d
såtakasya nirantaram  Ang_1.50b
såtakaü tatsamàpanàt  Ang_1.92d
såtakaü yadi madhyataþ  Ang_1.27d
såtakàdiùu sarveùu  Ang_1.169a
såtakànte punaþpràpta-  Ang_1.50a
såtakànte ÷ånyatithi-  Ang_1.274a
såtake tu yadà vipro  Ang_2,8.19a
såtake 'pi tathà ' 'caret  Ang_1.28d
såtake mçtake 'pi và  Ang_2,9.1b
såtiprajananasthàna-  Ang_1.386a
såtiprajananasthànà-  Ang_1.385a
såtyà÷auce na tanmatam  Ang_1.47b
såtyà÷auce mçtà÷auce  Ang_1.45a
såtrakàrasya vedasya  Ang_1.842c
såtrasyaiva bhavenmantraþ  Ang_1.56a
såpasthànaþ suràspadaþ  Ang_1.523d
såpaü tu pariveùayet  Ang_1.814b
såryadçùñirhimaü yathà  Ang_2,6.11d
såryarà÷ikramaõata÷  Ang_1.638c
såryo divi viràjate  Ang_2,12.10d
sçùñaü ÷uddhaikavigraham  Ang_1.589b
setusnànasahasrakam  Ang_1.203d
saivàsya dharmapatnã syàd  Ang_1.447c
so 'gnirvai kavyavàhanaþ  Ang_1.736d
sodakumbhamadharmakam  Ang_1.876d
sodakumbha÷ràddhamàtraü  Ang_1.263c
sodakumbhasya nàndyà÷ca  Ang_1.266a
sodakumbhàni kçtsna÷aþ  Ang_1.683d
so 'pi pàtityamàpnuyàt  Ang_1.123d
so 'pi yasmin dine samyag  Ang_1.653c
so 'pyeka÷cedavàpnoti  Ang_1.127a
somatçptyaikajanakaü  Ang_1.1101c
somadà mahilà kalà  Ang_1.928b
somamàrgeõa sà påtà  Ang_2,9.16c
somayàjã sarvayàjã  Ang_1.625c
somaü grastàstagaü såryam  Ang_1.298c
somaþ pitþõàmàdhàraþ  Ang_1.1100c
somàyeti huneddhaviþ  Ang_1.810b
somàyaiva tu håyate  Ang_1.1100d
some dçùñiü nipàtayet  Ang_2,9.15b
so 'yametàdç÷o mahàn  Ang_1.567d
so 'yaü hi pitçbhiþ prãtas  Ang_1.1101a
saukhyavighnakaraü bhavet  Ang_1.664b
saumyayàmyàyanadvandve  Ang_1.643a
saumyayàmyàyane nånaü  Ang_1.641a
stanyapàne na doùo 'sti  Ang_1.284c
stambhanoccàñanàdibhiþ  Ang_1.293d
striya eva hi nurna tu  Ang_1.180b
strãõàü pçthaï na kartavyà  Ang_1.998c
strãpiõóaü bhartçpiõóena  Ang_1.977c
strãpiõóaü bhartçpiõóena  Ang_1.996a
sthànamàhavanãyake  Ang_1.775d
sthànaü viprasya tatsmçtam  Ang_1.973d
sthànaü vãràsanaü ÷aktaþ  Ang_2,12.4a
sthàpanaü kriyate yena  Ang_1.500c
sthàpanaü panasàkhyasya  Ang_1.482c
sthàpayitvà vidhànena  Ang_1.545c
sthàpayetpàlayedapi  Ang_1.1018b
sthàpayennikùipedevaü  Ang_1.1016c
sthità bhavati nànyathà  Ang_1.390d
sthitàyàü yeyamåóhà syàd  Ang_1.452a
sthità sà 'mbàsya vai bhavet  Ang_1.390b
sthirabheùvarkasaükràntir  Ang_1.640a
snàtasnànena kurvãta  Ang_1.264c
snàtàyàü samanantaram  Ang_1.80d
snàtvà kuryàdamantrakam  Ang_1.466b
snàtvà tenaiva vidhinà  Ang_1.487a
snàtvà samyak samantrakam  Ang_1.23d
snànataþ sarvakarmàõi  Ang_1.165a
snànamabhya¤janaü snànam  Ang_1.265c
snànamàtraü ca kathitaü  Ang_1.679a
snànamålamidaü jagat  Ang_1.166b
snànamålamidaü tapaþ  Ang_1.165d
snànamålamidaü bràhmaü  Ang_1.165c
snànamålàkhilà yaj¤àþ  Ang_1.166a
snànameva paraü proktaü  Ang_1.169c
snànameva paraü matam  Ang_1.166d
snànaü kçtvà tu tàdç÷am  Ang_1.253d
snànaü kçtvà pràrabhecca  Ang_1.164a
snànaü tatsamudàhçtam  Ang_1.170d
snànenaiva vi÷udhyati  Ang_2,9.13b
snàpayitvà vidhànena  Ang_1.78a
snehàbhyaïga÷ca pàõinà  Ang_2,10.9b
spar÷amàtraþ prakartavyas  Ang_1.472a
spar÷e snànaü vidhãyate  Ang_2,8.20d
spaùñameva prabhavati  Ang_1.229a
