GRETIL CUMULATIVE PADA INDEX
OF METRIC DHARMA TEXTS AND TEXT PORTIONS

presently including the Smrtis of:

- Aïgiras (Ang_)
- Bçhaspati (reconstructed): Vyavahàrakàõóa (Brh_1.)
- Kàtyàyana (K_)
- Manu (Mn_)
- Nàrada (Nar_)
- Parà÷ara (Par_)
- Viùõu [metric portions] (Vi_)
- Yàj¤avalkya (Yj_)
- Yama, version with 78 verses (YS78v_)
- Yama, version with 99 verses (YS99v_)
- Yama, version with 185 verses in 5 adhyàyas (YS182v_)
- Yama, South Indian recension (YSS_)



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akatra prativàsinaş (?)  K_892b
saübhåto rasa uttamaş  Yj_3.121b
saübhåtau tasya dehataş  Mn_9.133d
saübhåya karaõàni ca  Yj_3.148d
saübhåya kurvatàm arghaü  Yj_2.249a
saübhåya ca samutthànaü  Mn_8.4c
saübhåya vaõijàü paõyam  Yj_2.250a
saübhåya svàni karmàõi  Mn_8.211a
saübhåyotthànam eva ca  Nar_M1.16b
saübhoktà yasya yo bhavet  K_673b
saübhogo dç÷yate yatra  Mn_8.200a
saübhojàni sàbhihità  Mn_3.141[131M]a
saübhojyàtithibhçtyàü÷ ca  Yj_1.105c
saübhrame càgnikàrite  Mn_4.118b
saümàrjanopà¤janena  Mn_5.124[122M]a
saü mà siücantv anena tu  Yj_3.282b
saümi÷raya kàrayet sãmàm  K_742c
saüyataü cànyave÷mani  K_309d
saüyatàü vàsayed gçhe  Mn_8.365d
saüyatendriyatà vidyà  Yj_3.66c
saüyatopaskarà dakùà  Yj_1.83a
saüyame yatnam àtiùñhed  Mn_2.88c
saüyamya ca manas tathà  Mn_2.100b
saüyuktasya striyà saha  Nar_12.60b
saüyuktasyàpi daivena  Mn_7.208Ma
saüyuktaü bràhmaõaiş kùatraü  Nar_18.32c
saüyuktàdhamayonijà  Mn_9.23b
saüyuktàü÷ ca viyuktàü÷ ca  Mn_7.214[218M]c
saüyujya vidhivatpunaş  Ang_1.977d
saüyujya vidhivatpunaş  Ang_1.996b
saüyujyeta yathàvidhi  Mn_9.22b
saüyogaü ca tathàpriyaiş  Mn_6.62b
saüyogaü patitair gataş  Mn_3.157[147M]d
saüyogaü patitair gatvà  Mn_12.60a
saüyogàd bhajyate dhvajaş  Nar_12.17b
saüyoge kecid icchanti  Yj_1.350c
saüyoge viprayoge ca  Mn_9.1c
saüyojya vàyunà somaü  Yj_3.122a
saürakùaõàrthaü jantånàü  Mn_6.68a
saürakùet samayaü ràjà  Nar_10.2c
saürakùet sarvata÷ cainaü  Mn_7.135[136M]c
saürakùyamàõo ràj¤à yaü]  Mn_7.136[137M]a
saürabdhàş puruùaü naràş  K_798b
saürambhàn matipårvakam  Mn_4.166b
saürambhe ràgahetuke  Nar_12.89b
saüvatsaranirodhataş  Mn_8.375b
saüvatsaraparà sthitiş  Nar_12.100d
saüvatsarasyaikam api  Mn_5.21a
saüvatsaraü jaóonmatta-  K_156c
saüvatsaraü tu gavyena  Mn_3.271[261M]a
saüvatsaraü pratãkùeta  Mn_9.77a
saüvatsaraü prayatnena  Ang_1.197a
saüvatsaraü yavàhàras  Mn_11.198[197M]c
saüvatsaràbhi÷astasya  Mn_8.373a
saüvatsareõa patati  Mn_11.180[179M]a
saüvatsareõa yat pàpaü  Par_2.8c
saüvatsareõàrdhakhilaü  Nar_11.23a
saüvatsare vyatãte tu  Mn_5.76[75M]c
saüvaseyu÷ ca sarva÷aş  Yj_3.295d
saüvàdya råpasaükhyàdãn  Mn_8.31c
saüvàsaü caiva durjanaiş  Mn_12.79b
saüvida÷ ca vyatikramaş  Mn_8.5b
saüvidaü laïghayec ca yaş  Yj_2.187b
saüvibhàga÷ ca bhåtebhyaş  Mn_4.32c
saüvi÷antãùu saüvi÷et  Par_8.34b
saüvi÷et taü yathàkàlam  Mn_7.255[229M]c
saüvi÷et tåryaghoùeõa  Yj_1.331a
saüvi÷ed àrtave striyam  Mn_3.48d
saüvãtàïgaş samàhitaş  Mn_8.23b
saüvãtàïgo 'vaguõñhitaş  Mn_K4.49[50M]d
saüvçtàsyaş suni÷calaş  Yj_3.199d
saü÷ayasthà÷ ca na kvacit  K_114d
saü÷ayasya vi÷eùataş  Ang_1.295d
saü÷ayàn màü vimocaya  Yj_2.101d
saü÷aye teùu nirdi÷et  K_433f
saü÷aye na tu bhoktavyaü  Ang_2,2.3a
saü÷odhya trividhaü màrgaü  Mn_7.185[186M]a
saü÷rayaty eva tacchãlaü  Mn_10.60c
saü÷rayeran prayatnataş  Mn_2.24b
saüsaktasaktadoùe tu  K_740a
saüsaktasaktasaüsaktàş  K_738c
saüsaktàs tv atha sàmantàs  K_738a
saüsadi prativàdinà  K_382b
saüsaràn pratipadyate  Mn_12.39b
saüsargam icchanti phalaü tathà syàt  YSS_1.57c
saüsarga÷ càpi taiş saha  Mn_11.54[53M]d
saüsargaü yàti mànavaş  Mn_11.181[180M]b
saüsargã pa¤camo j¤eyas  YS182v_4.23a
saüsàdhayet kriyà yà tu  K_222c
saüsàragamanaü caiva  Mn_1.117a
saüsàrayati cakravat  Mn_12.124d
saüsàraü pratipadyate  Mn_6.74d
saüsàraü pratipadyate  Yj_3.140d
saüsàraş sàrvabhautikaş  Mn_12.51d
saüsàràn pratipadyante  Mn_12.54c
saüsidhyati ca màrgataş  YSS_2.76d
saüsãdaty animittataş  Yj_1.274d
saüsãdan snàtakaş kùudhà  Mn_4.33b
saüsçùñànàü tu saüsçùñàş  K_932a
saüsçùñàs tena và ye syur  Mn_9.216c
saüsçùñà hi bhavanti ca  YS182v_5.14b
saüsçùñinas tu saüsçùñã  Yj_2.138a
saüsçùñinàü tu yo bhàgas  Nar_13.23a
saüsçùño nànyamàtçjaş  Yj_2.139d
saüsçùño và duràtmabhiş  Nar_14.24d
saüskartà copahartà ca  Mn_5.51c
saüskartà labhate na tu  K_762d
saüskàravidhayaş kramàt  Nar_13.33b
saüskàravidhim eva ca  Mn_1.111b
saüskàrasya vi÷eùàc ca  Mn_10.3c
saüskàraü kurute tu yaş  K_762b
saüskàràt tu bhaved dàsaş  Par_11.22c
saüskàràt prãtitaş striyà  K_900b
saüskàràrthaü prakãrtitàş  Nar_12.38b
saüskàràrthaü yad arpitam  K_604d
saüskàràrthaü ÷arãrasya  Mn_2.66c
saüskàreõaiva ÷udhyati  Mn_11.146[145M]b
saüskàrair mantrapurvakaiş  Par_8.19d
saüskàrairmantrapårvakaiş  Ang_2,4.10d
saüskàro 'tha dvilakùaõaş  Nar_12.2d
saüskàro vaidikaş smçtaş  Mn_2.67b
saüskàryàõi suto na cet  Ang_1.437b
saüskuryàttadvyatikrame  Ang_1.41d
saüskuryàttasya kevalam  Ang_1.1066d
saüskuryàdyadi kàmataş  Ang_1.123b
saüskçta÷càdhyàpita÷ca  Ang_1.1049c
saüskçtasyaiva karmabhiş  Ang_1.161b
saüskçtaü yena yat paõyaü  K_354a
saüskçtàtmà dvijaş ÷anaiş  Mn_2.164b
saüskçto yadi tadvçtaş  Ang_1.310d
saüstãryaiva tataş punaş  Ang_1.852d
saüsthàne bahusaüsthite  Mn_8.371d
saüsthàpyà àtmano va÷e  Mn_9.2d
saüsthitasyànapatyasya  Mn_9.190a
saüsthitaü ca na laïghayet  Mn_5.151[149M]d
saüspar÷e tu tadardhikaş  Yj_2.215d
saüspar÷e homavismçtau  Ang_1.947d
saüspç÷anti tu ye viprà  Par_4.5a
saüspç÷et tu yadà ka÷cit  YS182v_3.8c
saüspç÷ed antyajo yadi  YS99v_11b
saüspçùñas tair upaspç÷et  Yj_3.30b
saüspçùñaü càpy udakyayà  Mn_4.208[209M]b
saüspçùñaü naiva ÷uddhyeta  Mn_5.123c
saüspçùñàs tu tadà kai÷cit  YS78v_18c
saüspçùñe ra÷mibhis teùàm  YS99v_66c
saüsràvya pàyayet tasmàj  Yj_2.112c
saühatasya ca mitreõa  Mn_7.165[166M]c
saühatàn yodhayed alpàn  Mn_7.191[192M]a
saühatya hastàv adhyeyaü  Mn_2.71c
saühareta sa pårvajaş  Mn_9.123b
saüharetàü yathoditam  Mn_9.113b
saühàtaü ca sakàkolaü  Mn_4.89c
saühitàjapa eva và  Mn_11.200[199M]b
saühitàpañhanaü sakçt  Ang_1.156b
sà çgvà vaiùõavã ÷ivà  Ang_1.10b
sà kalà pãyate hi taiş  Ang_1.1102b
sàkalyenàtiricyate  Mn_12.25b
sàkùàdannasya muktirna  Ang_1.49a
sàkùàd dharmasya lakùaõam  Mn_2.12d
sàkùànnàràyaõàtmakaş  Ang_1.159b
sàkùikadåùaõe kàryaü  Nar_M2.39a
sàkùiõa÷ ca ta eva hi  Yj_2.202b
sàkùiõa÷ ca svahastena  Yj_2.87a
sàkùiõa÷ ceti kãrtitam  Yj_2.22b
sàkùiõaş pårvavàdinaş  Yj_2.17b
sàkùiõaş pårvavàdinaş  YS182v_5.25d
sàkùiõaş pratibhåş kulam  Mn_8.169b
sàkùiõaş ÷ràvayed vàdi-  Yj_2.73a
sàkùiõaş santi mety uktvà  Mn_8.57a
sàkùiõaş samudàhçtàş  K_355d
sàkùiõaş samudàhçtàş  K_356b
sàkùiõaş saüniroddhavyà  K_402c
sàkùiõaş sàdhanaü proktaü  K_228c
sàkùiõaş sthirakarmasu  K_365b
sàkùiõàm api yaş sàkùyam  K_375a
sàkùiõàm upajàpa÷ ca  K_248c
sàkùiõàü caiva ye smçtàş  K_378b
sàkùiõàü tripaõo damaş  Yj_2.239b
sàkùiõàü purato nånaü  Ang_1.388a
sàkùiõàü likhitànàü tu  K_359a
sàkùiõo divyam eva và  K_229d
sàkùiõo nçpatiş svayam  K_340b
sàkùiõo yas tu nirdi÷ya  K_207a
sàkùito vahnisàkùitaş  Ang_1.250b
sàkùitvaü tad vinihnute  Nar_1.179b
sàkùitvaü na tato 'nyathà  K_390d
sàkùitvaü pràtibhàvyaü ca  Nar_13.39a
sàkùidåùaõasàdhane  K_381b
sàkùidoùàd bhaved duùñaü  K_273a
sàkùidoùàş pravaktavyàş  K_382a
sàkùidvaidhe naràdhipaş  Mn_8.73b
sàkùidharmaniràkçtàş  K_384d
sàkùidharme vi÷eùeõa  Nar_1.206c
sàkùipratyaya eva syàt  Mn_8.253c
sàkùipratyayasiddhàni  Mn_8.178c
sàkùipra÷navidhànaü ca  Mn_1.115a
sàkùibhir bhàvayet sadà  K_348d
sàkùibhir bhàvitenaiva  K_540c
sàkùibhir bhàùitaü vàkyaü  K_340c
sàkùibhir likhitena và  K_172b
sàkùibhir likhitenàrthe  K_240c
sàkùibhir vàdinà bhavet  K_408b
sàkùibhis tàvad evàsau  K_473c
sàkùibhiş patranirõayaş  K_283b
sàkùibhiş pratipàdayet  K_162b
sàkùibhiş sakalaü bhavet  K_397b
sàkùibhyo likhitaü guru  K_315b
sàkùibhyo likhitaü ÷reyo  Nar_1.125c
sàkùibhyo vyaktidar÷anam  Nar_1.127d
sàkùimac ca bhaved yad và  Yj_2.94c
sàkùimat karaõaü tatra  Nar_1.83c
sàkùimatsàkùibhir haret  K_289d
sàkùimat sàkùibhir haret  Nar_1.125b
sàkùimàn itaras tathà  Nar_2.03b
sàkùilekhakakartàraş  K_276a
sàkùilekhakakàrakàş  K_280b
sàkùilekhakakàrakaiş  K_274d
sàkùivat puõyapàpebhyo  Yj_2.104c
sàkùivàkyàt prakãrtitaş  K_495d
sàkùivipratipattau tu  Nar_1.209a
sàkùiùåbhayataş satsu  Yj_2.17a
sàkùiùåbhayataş satsu  YS182v_5.25c
sàkùiùv ekàrthani÷caye  Nar_1.142b
sàkùisabhyàvasannànàü  Nar_M2.40a
sàkùã cet sàkùya àgate  K_400b
sàkùã cet sàkùyam àgataş  Nar_1.211b
sàkùã tatra na daõóyaş syàd  K_398c
sàkùã dçùña÷rutàd anyad  Mn_8.75a
sàkùã pa¤cavidhaş smçtaş  Nar_1.130d
sàkùã màrgadvayànvitaş  K_369b
sàkùã màrgadvayànvitaş  K_733d
sàkùã sàkùyasamudde÷e  Nar_1.186a
sàkùã sàkùyaü na ced bråyàt  K_405a
sà kùetraü prabhaveddhruvam  Ang_1.217b
sàkùepaü niùñhuraü j¤eyam  Nar_1516.3a
sàkùyabhàve tu catvàro  Mn_8.258a
sàkùyabhàve praõidhibhir  Mn_8.182a
sàkùyam eko 'pi vàcyate  K_353b
sàkùyaü tad asad ucyate  Nar_1.212d
sàkùyaü teùu na yojayet  K_362d
sàkùyaü nànyatra sàkùibhiş  K_387b
sàkùyaü pçcched çtaü dvijàn  Mn_8.87b
sàkùyaü pçcched çtaü dvijàn  K_344b
sàkùyaü vitatham ucyate  Mn_8.118d
sàkùyaü vyàvartate punaş  Nar_1.210d
sàkùyàcàreõa sàkùiõaş  K_266d
sàkùyàcàreõa sàkùiõaş  Nar_M1.61d
sàkùy uddiùño yadi preyàd  Nar_1.148a
sàkùye 'nçtaü vadan pà÷air  Mn_8.82a
sàkùyeùu vadatàü mçùà  Mn_8.71b
sà gaïgeti ca phaõyate  Ang_1.942b
sàgamànàgamà tathà  K_317b
sàgamà bhuktir iùyate  K_321b
sàgamena tu bhuktena  K_319a
sàgare yànti saüsthitim  Mn_6.90b
sàgnitretà garãyasã  Mn_2.231d
sàgniş sopàsano vrajet  Yj_3.45d
sà gràhyà na tu pårõàpi  K_219c
sà ca vàci pratiùñhità  Nar_18.19b
sà ca svà ca vi÷aş smçte  Mn_3.13b
sà càtrà ' 'vàhanaü matam  Ang_1.684d
sàcàraş sàgnihotrã ca  Ang_1.736c
sà cet punaş praduùyet tu  Mn_11.177[176M]a
sà ced akùatayoniş syàd  Mn_9.176a
sà ced alpà tu sàgamà  K_317d
sà cedbhartçdvayaü tyaktvà  Ang_1.203c
sà caiva vyabhicàriõã  YS182v_3.17b
sàjyenotsàditasya ca  Yj_1.277d
sà tatràdhigamaü prati  Mn_8.157d
sà tu naùñà pare loke  Par_10.31a
sà tu naùñà vinirdiùñà  Par_10.30a
sà tçtãyà prakãrtità  Nar_12.51d
sà tena saha piõóanam  Ang_1.976d
sà teùàü pàvanàya syàt  Mn_11.85[84M]c
sàttvikaü guõalakùaõam  Mn_12.31d
sàttvikaü dhàrmikaü tathà  Mn_3.263[253M]d
sàttviko devayonitàm  Yj_3.137d
sà trãn màsàn parityàjyà  Mn_9.78c
sà daõóyà kçùõalàni ùañ  Mn_9.84d
sàdayan vijitendriyaş  Yj_1.50b
sà dvitãyà prakãrtità  Nar_12.47d
sà dvitãyà prakãrtità  Nar_12.50d
sàdhakàya bhavenna tu  Ang_1.847d
sàdhanaü tu kriyocyate  K_216b
sàdhayantãha tatpadam  Mn_6.75d
sàdhayet kàryam àtmanaş  Mn_7.173[174M]d
sàdhayet tat punaş sàdhyaü  K_438a
sàdhayed çõikaü dhanã  K_585b
sàdhayed deham àtmanaş  Mn_2.248d
sàdhayed ya÷ ca niùpatet  Yj_2.16b
sàdhàraõasyàpalàpã  Yj_2.236c
sàdhàraõaü tu yat krãtaü  K_697a
sàdhàraõaü syàt trividhaü  Nar_1.46c
sàdhàraõaş syàd gàndharvas  Nar_12.44c
sàdhitaü yo vibhàvayet  K_515b
sàdhitàd da÷akaü ÷atam  Yj_2.42b
sàdhubhir j¤àtibhiş svakaiş  K_616b
sàdhubhyaş saüprayacchati  Mn_11.19[18M]b
sàdhuùu vyapade÷a÷ ca  Mn_7.168[169M]c
sàdhånàü divyam arhati  K_430b
sàdhånàü saügraheõa ca  Mn_8.311b
sàdhån sammànayed ràjà  Yj_1.338c
sàdhån samyak prapåjayet  Ang_1.376b
sàdhyate tad dhi netarat  K_191d
sàdhyapramàõahãna÷ ca  K_138c
sàdhyapramàõaü dravyaü ca  K_125a
sàdhyamàno nçpaü gacchan  Yj_2.40c
sàdhyamålas tu yo vàdo  K_025c
sàdhyavàdasya målaü syàd  K_030a
sàdhyasya satyavacanaü  K_168a
sàdhyahãnaü ca duùyati  K_270d
sàdhyaü satkàraõànvitam  K_141b
sàdhyànàü ca gaõaü såkùmaü  Mn_1.22c
sàdhyànàü pitaraş smçtàş  Mn_3.195[185M]b
sàdhyàrthasya ca saünidhau  K_388b
sàdhyàrthàc càpi hãyate  K_278d
sàdhyàrthàc càpi hãyate  K_380d
sàdhyàrthàü÷e 'pi gadite  K_397a
sàdhye kuryàd yathà÷rutam  Yj_2.196d
sàdhvàcàraş susaüvçtaş  Mn_2.193b
sàdhvàcàrà na tàvat syàd  Par_7.17c
sàdhvã varõottamà ca yà  Nar_12.73d
sàdhvã ÷udhyati nànyathà  Ang_1.224d
sàdhv etad iti manyate  Nar_M3.16b
sà nàrã narakaü vrajet  Par_4.17d
sà nitya÷uddhà tadyogàd  Ang_1.908c
sànugebhyo baliü haret  Mn_3.87[77M]d
sànuj¤àpyàdhivettavyà  Mn_9.82c
sàntànikaü yakùyamàõam  Mn_11.1a
sàntyà vai svairiõã smçtà  Nar_12.52d
sàntvena pra÷amayyàdau  Mn_8.391c
sàntvenàdau vibhàvitaş  K_585d
sàntvenaiva pradàpayet  K_477b
sàntvenaiva pradàpayet  K_587b
sànnidhyaü mçtikàle tu  Ang_1.479a
sànvayas tv apahàro yaş  K_796a
sànvayasya na càsti saş  Nar_1.99b
sànvayaş ùañ÷ataü damam  Mn_8.198b
sànvaye 'rdha÷ataü damaş  Mn_8.331d
sàpatnã jananã dåra-  Ang_1.390c
sàpatnãmàtureva ca  Ang_1.1029d
sàpatnãmàtçtanayà  Ang_1.408c
sàpatyà cànyam à÷rayet  Nar_1.18b
sàpade÷aü tu tad vidyàd  K_201c
sàpade÷aü haran kàlam  Nar_M1.52a
sàpiõóyamanuyàne tu  Ang_1.976a
sàpiõóyasya niråpaõam  Ang_1.676b
sàpiõóyaü dvàda÷e 'hani  Ang_1.995b
sàpi dàsãtvam àpnuyàt  K_725b
sà putraü puùkarasrajam  Ang_1.872d
sà pra÷astà dvijàtãnàü  Mn_3.5c
sà prasåtiş pra÷asyate  Mn_9.34d
sà prãtyai paramà smçtà  Ang_1.908b
sà bråte yaü sa dharmaş syàd  Yj_1.9c
sà bhartçlokam àpnoti  Mn_5.165[163M]c
sà bhartçlokàn àpnoti  Mn_9.29c
sà bhçtiş parikãrtità  K_644d
sà bhogamàtrayogyàpi  Ang_1.218c
sàmagàyam avicyutam  Yj_3.112b
sàmadaõóau pra÷aüsanti  Mn_7.109[110M]c
sàmadhvanàv çgyajuùã  Mn_4.123a
sàmantakulikàdãnàm  Yj_2.233a
sàmantapratyayo j¤eyaş  Mn_8.262c
sàmantabhàve 'sàmantaiş  K_735a
sàmantasya ÷ado deyo  Nar_11.34c
sàmantànàm abhàve tu  Mn_8.259a
sàmantà nirõayaü prati  K_741b
sàmantàn màrgapàlàü÷ ca  Nar_19.24c
sàmantà và samagràmà÷  Yj_2.152a
sàmantà÷ cen mçùà bråyuş  Mn_8.263a
sàmantà÷ caiva coditàş  Nar_19.22b
sàmantàs tadvini÷caye  Nar_11.7b
sàmantàü÷ caiva coditàn  Mn_9.272b
sàmantàş sàdhanaü pårvam  K_746a
sàmantàş sthaviràdayaş  Yj_2.150b
sàmantàş svàminaü viduş  K_891b
sàmantebhyo vini÷cayaş  Nar_11.2b
sàmanteùv arthagauravàt  K_739b
sàmabàõàrtanişsvane  Yj_1.148b
sàmabhedàdibhir màrgair  K_192c
sàmavedavid eva ca  Mn_12.112b
sàmavedaş smçtaş pitryas  Mn_4.124c
sàmàdibhir upakramaiş  Mn_7.107[108M]d
sàmàdibhir upakramaiş  Mn_7.159[160M]b
sàmàdibhir upakramaiş  Yj_1.345d
sàmàdãnàm upàyànàü  Mn_7.109[110M]a
sàmàdyupàyasàdhyatvàc  Nar_M1.12a
sàmàni tçptiü kuryàc ca  Yj_1.43c
sàmàni vividhàni ca  Mn_11.264[263M]b
sàmànyadravyaprasabha-  Yj_2.230a
sàmànyam asvatantratvam  Nar_5.04a
sàmànyaü yad ato 'nyathà  K_873d
sàmànyaü saüdhivigraham  Mn_7.56b
sàmànyàrthasamutthàne  Yj_2.120a
sàmudrà viü÷akaü ÷atam  Yj_2.38b
sà mçtà narakaü yàti  Par_4.14c
sà mçtà labhate svargaü  Par_4.31c
sàmnà dànena bhedena  Mn_7.198[199M]a
sàmnàü và sarahasyànàü  Mn_11.262[261M]c
sàmnaiva parisàdhayet  Mn_8.187d
sàmnaivaikena ÷udhyati  Par_11.18d
sàmyaü kaõñakatastasya  Ang_1.581a
sàmyaü tv alpadhane smçtam  K_858d
sàmyaü saumyecchasãti kim  Mn_11.195[194M]d
sà yathàkàmam a÷nãyàd  Nar_1.24c
sàyaM: pràta÷ ca juhuyàt  Mn_2.186c
sàyaü caiva tu vaiùõavãm  YS182v_4.50d
sàyaü tv annasya siddhasya  Mn_3.121[111M]a
sàyaü pratyarpayet tathà  Yj_2.164b
sàyaü pràtar vidhãyate  Mn_3.121[111M]d
sàyaü saügopanàrthaü ca  Par_9.27c
sàyaü saügopanàrthaü ca  YS99v_52c
sàyaü saügopanàrthaü tu  Ang_2,10.12c
sàyaü snàyàt prage tathà  Mn_6.6b
sàyàhne 'nabhilakùitaş  Yj_3.59b
sàyàhne pratyupànayet  Nar_6.12d
sàrabhàõóaü ca kçtrimam  Yj_2.247b
sàrabhåtaü padaü muktvà  K_222a
sàrasaü rajjuvàlaü ca  Mn_5.12c
sàrasaika÷aphàn haüsàn  Yj_1.172c
sàras tu vyavahàràõàü  Nar_M1.6a
sàrànubandhàv àlokya  Nar_19.45c
sàràparàdho càlokya  Mn_8.126c
sàràsàraü ca bhàõóànàü  Mn_9.331a
sàriùñaiş kutapaü tathà  Yj_1.186d
sàrundhatãsamàcàrà  K_837c
sàrdra÷ ca sa palà÷a÷ ca  YS99v_41c
sàrdra÷ca sapalà÷a÷ca  Ang_2,10.2c
sàrdhayàmatrayaü yàma-  Ang_1.287c
sàrdhasàhasramajjanaiş  Ang_1.190b
sàrdhaü tair eka eva và  Mn_7.151[152M]d
sàrdhàş svedàyanaiş saha  Yj_3.103d
sàrvakàlaü gçhãtavyaü  Ang_2,8.12c
sàrvavarõikam annàdyaü  Mn_3.244[234M]a
sàrvavedasadakùiõàm  Yj_3.56b
sàvadhànas tad abhyàsàt  Yj_3.112c
sàvadhàno 'vadhàraya  YS78v_78d
sàvitrà¤ ÷àntihomàü÷ ca  Mn_4.150a
sàvitrã nàtivartate  Mn_2.38b
sàvitrãpatità vràtyà  Mn_2.39c
sàvitrãpatità vràtyà  Yj_1.38c
sàvitrãm apy adhãyãta  Mn_2.104c
sàvitrãm a÷ucau dçùñe  Yj_3.279c
sàvitrãmàtrasàraistu  Ang_2,4.5a
sàvitrãmàtrasàro 'pi  Mn_2.118a
sàvitrãm àrkadar÷anàt  Mn_2.101b
sàvitrãü ca japen nityaü  Mn_11.225[224M]a
sàvitrãü tu sakçj japet  Par_6.22d
sàvitrãü vyàhçtãü vàpi  Ang_2,12.3a
sàvitryà÷ càpi gàyatryàş  Par_8.3a
sàvitryàs tu paraü nàsti  Mn_2.83c
sà vidyamànà bhàryaiva  Ang_1.401c
sà vçttiş sadvigarhitàş  Mn_10.84b
sà vai putraistadudbhåtai÷  Ang_1.205a
sà÷ãtipaõasàhasro  Yj_1.366a
sà ÷unã jàyate mçtvà  Par_4.16c
sà satyà sàjaràmarà  Mn_2.148d
sà sadyaş saüniroddhavyà  Mn_9.83c
sà sadyo mauõóyam arhati  Mn_8.370b
sà syàt pàle 'bhçte bhçtiş  Mn_8.231d
sàhasasteyapàruùya-  Yj_2.12a
sàhasasteyapàruùya-  K_152a
sàhasasya naraş kartà  Mn_8.345c
sàhasaü ca bhaved evaü  K_796c
sàhasaü pårvam àpnoti  YSS_2.49c
sàhasaü sthàpitaü purà  K_181b
sàhasàkhyaü pravartate  K_797b
sàhasàtyayike caiva  K_365c
sàhasã dçùñadoùa÷ ca  Yj_2.71c
sàhasã bhedakàrã ca  K_672a
sàhasã vçùalãpatiş  YSS_2.18b
sàhasenànçte sthitàş  Nar_11.8d
sàhase vartamànaü tu  Mn_8.346a
sàhaseùu ca sarveùu  Mn_8.72a
sàhaseùu ca sarveùu  Nar_1.171a
sàhaseùu ya evoktas  Nar_14.20a
sàhaseùu vicàrayet  K_231b
sàhaseùv abhi÷àpe ca  Nar_M1.39c
sàhaseùv abhi÷àpe ca  Nar_20.4c
sàhasro mànasaş smçtaş  Mn_2.85d
sàhasro vai bhaved damaş  Mn_8.383d
sà hi pa¤cada÷atvataş  Ang_1.691d
sà hy asya kçtakçtyatà  Mn_4.17d
sà hy asya kçtakçtyatà  Mn_10.122d
sàünidhye 'pi pituş putrair  K_550a
sàüparàyikakalpena  Mn_7.185[186M]c
sàüràjyakçt sajàtyeùu  Mn_8.387c
sàüvatsarikam àptai÷ ca  Mn_7.80a
sicyamàna iva drumaş  Mn_9.255d
sitàsitàş karburåpàş  Yj_3.166c
siddham annam idaü punaş  YSS_2.68d
siddhaü naiva tu kàrayet  K_657b
siddhaü vastu gçhe vasan  Ang_2,9.6d
siddhimanto rujàyatàm  Ang_2,2.5d
siddhim ekasya saüpa÷yan  Mn_6.42c
siddhir atrobhayasyàsya  Nar_1.119c
siddhir uktàùñamàd varùàt  Nar_1.150a
siddhir gåóhasya sàkùiõaş  Nar_1.151b
siddhir de÷asthites tayoş  K_249d
siddhir de÷asthites tayoş  Nar_1.115d
siddhi÷ ca paramà yathà  Mn_7.1d
siddhiü gacchati karhi cit  Mn_2.97d
siddhenàrthena saüyojyo  K_262a
siddhe yoge tyajan deham  Yj_3.203c
siddhyartham asahàyavàn  Mn_6.42b
siddhyarthaü viniyojitaş  Yj_1.271b
sidhyantyeva na saü÷ayaş  Ang_1.165b
sisçkùur vividhàş prajàş  Mn_1.8b
siühakarkañayormadhye  Ang_1.917a
siühatuõóakarohitàş  Yj_1.177d
siühavac ca paràkrame  Mn_7.106[107M]b
siühavyàghrahato vàpi  Nar_11.33a
siühà vyàghrà varàhà÷ ca  Mn_12.43c
siühe ÷uni varàhe ca  Ang_2,10.15c
sãtàdravyàpaharaõe  Mn_9.293a
sãdadbhiş kupyam icchadbhir  Mn_10.113a
sãdanti càgnihotràõi  Par_1.31a
sãdanti hi pramàõàni  Nar_1.64c
sãdann icched dhanaü kùudhà  Yj_1.130b
sãmante yac ca mårdhani  Yj_1.283b
sãmàcaïkramaõe ko÷e  K_751a
sãmàj¤àne nçõàü vãkùya  Mn_8.249c
