Brahma-Purana, Adhyayas 1 - 246

Input by Peter Schreiner and Renate Soehnen-Thieme
for the Tuebingen Purana Project
For further details see www.indologie.unizh.ch/text/text.html

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot kiü mahàdeva  BrP_38.21c
÷akralokam upàgataþ  BrP_228.150b
÷akralokaü gamiùyati  BrP_51.30d
÷akralokaü punas tasmàd  BrP_227.28c
÷akra vairividàraõam  BrP_204.4d
÷akra÷ càpi suràdhipaþ  BrP_56.14b
÷akras tçptim avàpnuyàt  BrP_80.49d
÷akras tribhuvane÷varaþ  BrP_178.16b
÷akras tribhuvane÷varaþ  BrP_202.1b
÷akrasya vacanaü ÷rutvà  BrP_178.27a
÷akraü ca yo daityagaõàvaruddhaü  BrP_179.27c
÷akraü jetuü samudyataþ  BrP_176.19d
÷akraü devaparãvàraü  BrP_203.48c
÷akraü pitre nyavedayat  BrP_129.14d
÷akraü sarve mudànvitàþ  BrP_187.40b
÷akraþ parapuraüjayaþ  BrP_86.11d
÷akraþ ÷aïkàm upàvi÷at  BrP_86.22b
÷akraþ sasmitam àhedaü  BrP_188.28c
÷akraþ suravare÷varaþ  BrP_86.33b
÷akràgnivaruõaprabhàþ  BrP_146.8b
÷akràgnivaruõàdayaþ  BrP_87.10b
÷akràj¤ayà tatra samàjagàma  BrP_36.22b
÷akràõãsahitàü ditim  BrP_203.23b
÷akràdayo 'pi trida÷àþ kañàkùam  BrP_109.41a
÷akràdibhir vaktum a÷akya eva  BrP_100.21b
÷akràdãn vibudhà¤ ÷reùñhàüs  BrP_54.16a
÷akràdyà menire devàþ  BrP_36.52a
÷akràdyà vibudhàþ sarva  BrP_65.26a
÷akràdyà÷ ca surottamàþ  BrP_36.65b
÷akràdyàs tridivaukasaþ  BrP_34.4b
÷akràdyà hçùñamànasàþ  BrP_65.52b
÷akràdyair àgatair devaiþ  BrP_36.27c
÷akràdyair vividhair devaiþ  BrP_54.7a
÷akràdyaiþ saüstutaü devaü  BrP_33.31a
÷akreõa ca janàrdanaþ  BrP_203.59d
÷akreõa tadanantaram  BrP_59.2b
÷akreõa sahitàs tadà  BrP_178.15b
÷akre vajrakare sthite  BrP_203.47d
÷akro 'pi trida÷àlayam  BrP_202.15b
÷aïkayànyatra bhàmini  BrP_129.102d
÷aïkàü kçùõa prayacchati  BrP_189.8d
÷aïkitàni manàüsi naþ  BrP_189.4d
÷aïkitàbhyeti narmadà  BrP_13.179b
÷aïkiteti vacas tadà  BrP_86.30b
÷aïkito mçgaråpeõa  BrP_176.39a
÷aïkukarõahradaü tathà  BrP_25.50d
÷aïkukarõo mahàkarõaþ  BrP_40.4c
÷aïkukarõo mahàsvanaþ  BrP_213.85d
÷aïkupàùàõa÷arkare  BrP_214.76b
÷aïkupàùàõa÷arkare  BrP_214*.76b
÷aïkhakàhalanàditam  BrP_214.115d
÷aïkhakàhalanàditam  BrP_214*.115d
÷aïkhakundanibhà÷ cànye  BrP_232.34a
÷aïkhakåño 'tha çùabho  BrP_18.35c
÷aïkhagokùãrasaükà÷àm  BrP_59.86a
÷aïkhacakragadàdhara  BrP_73.9b
÷aïkhacakragadàdhara  BrP_182.14b
÷aïkhacakragadàdharam  BrP_44.14d
÷aïkhacakragadàdharam  BrP_45.65b
÷aïkhacakragadàdharam  BrP_50.44b
÷aïkhacakragadàdharam  BrP_53.32d
÷aïkhacakragadàdharam  BrP_126.23d
÷aïkhacakragadàdharam  BrP_226.8b
÷aïkhacakragadàdharaþ  BrP_56.48d
÷aïkhacakragadàdharaþ  BrP_60.43b
÷aïkhacakragadàdharaþ  BrP_67.48b
÷aïkhacakragadàdharaþ  BrP_67.59d
÷aïkhacakragadàdharaþ  BrP_109.43b
÷aïkhacakragadàdharaþ  BrP_122.44b
÷aïkhacakragadàdharaþ  BrP_136.6d
÷aïkhacakragadàdharaþ  BrP_177.2b
÷aïkhacakragadàdharaþ  BrP_228.8d
÷aïkhacakragadàdharàm  BrP_176.8d
÷aïkhacakragadàdharàþ  BrP_68.31b
÷aïkhacakragadàpàõi-  BrP_49.19c
÷aïkhacakragadàpàõir  BrP_79.12a
÷aïkhacakragadàpàõiü  BrP_57.40a
÷aïkhacakragadàpàõiü  BrP_163.35a
÷aïkhacakragadàpàõiü  BrP_178.123c
÷aïkhacakragadàbhçtam  BrP_50.4d
÷aïkhacakragadàhastàü  BrP_176.24a
÷aïkhacakradharaü devaü  BrP_50.5c
÷aïkhacakradharaü devaü  BrP_51.14a
÷aïkhatãrthaü tu tat proktaü  BrP_156.7c
÷aïkhadundubhinirghoùair  BrP_46.21a
÷aïkhaprabhaü devakuõóaü  BrP_25.22a
÷aïkham àpårayat tadà  BrP_156.5b
÷aïkham àpårayad dhariþ  BrP_156.6b
÷aïkharåpaþ sa bàlakam  BrP_194.27b
÷aïkha÷ ca ÷aïkhapàla÷ ca  BrP_3.101a
÷aïkhahastàya te namaþ  BrP_203.19b
÷aïkhahradaü nàma tãrthaü  BrP_156.1a
÷aïkhaü dakùiõato nyaset  BrP_61.41d
÷aïkhà÷masvarõaråpyàõàü  BrP_221.113a
÷aïkhoddhàre dvàrakàyàü  BrP_64.5c
÷acãkàntaü ca tasthire  BrP_96.9b
÷acãkàntaü tale sthàpya  BrP_129.16c
÷acã cotsàhayàm àsa  BrP_203.45c
÷acãpatir iva svayam  BrP_216.46d
÷acãpatis tatra surendramadhye  BrP_36.23c
÷acãpatiü cànugatà  BrP_96.2c
÷acãbhartari vai mune  BrP_124.109b
÷acãbhartà udàradhãþ  BrP_122.55b
÷acãbhartà puraüdaraþ  BrP_124.60b
÷acãbhartà puràü bhettà  BrP_87.55c
÷acãbhartà bhayàturaþ  BrP_124.35b
÷acãbhartà mayaü daityaü  BrP_124.40e
÷acãbhartà sahasradçk  BrP_87.69d
÷acãbhartur adoùatàm  BrP_124.89b
÷acãbhartuþ palàyanam  BrP_203.64b
÷acãvibhåùaõàrthàya  BrP_203.35a
÷acãsamàm àtmavadhåü cakàra  BrP_140.17b
÷acãü tàü sàntvayann àha  BrP_129.100e
÷acãü smarasyeva vihàra÷àlàm  BrP_140.15d
÷acyà yutaü pràptaratiü mahiùñham  BrP_140.7d
÷añhapralàpàd viratà  BrP_224.24a
÷añhàya klãbàya na jihmabuddhaye  BrP_245.33b
÷atakarõo namo 'stu te  BrP_40.5b
÷atakiü ca sahasrikam  BrP_25.52b
÷atakratuþ sahasràkùaþ  BrP_124.60a
÷atakratos tathà pràdàt  BrP_73.57a
÷ataghnãcakrahastà÷ ca  BrP_213.90c
÷atajihvaþ sanàtanaþ  BrP_40.5d
÷atadrucandrabhàgàdyà  BrP_19.10a
÷atadrur bàhudà tathà  BrP_64.12b
÷atadruhàþ kaliïgà÷ ca  BrP_27.46a
÷atadvayaü kiücid ånaü  BrP_178.76c
÷atadhanvà tato 'kråraü  BrP_17.12c
÷atadhanvà tu madhyamaþ  BrP_16.5d
÷atadhanvànam acyutaþ  BrP_17.19b
÷atadhanvànam ardayat  BrP_17.16d
÷atadhanvà mahàbalaþ  BrP_17.3b
÷atadhà ca sahasradhà  BrP_104.6b
÷atadhà ca sahasradhà  BrP_169.41d
÷atadhà tu samàhataþ  BrP_215.106d
÷atadhàtha sahasradhà  BrP_90.33b
÷atadhà sahasradhà caiva  BrP_30.71a
÷atanàmabhir anvitam  BrP_143.4b
÷ataparõàü÷ ca kiü÷ukàn  BrP_178.34b
÷ataprasavataþ sutaþ  BrP_15.9d
÷atamanyur hasann idam  BrP_129.100f
÷atam aùñottaraü càbdaü  BrP_176.33c
÷atam aùñottaraü tathà  BrP_61.54b
÷atam uktaü manãùibhiþ  BrP_155.13d
÷atam uttamadhanvinàm  BrP_7.57b
÷atam uttamadhanvinàm  BrP_11.44d
÷atam uttamadhanvinàm  BrP_13.125b
÷atam ekaü tathàdhikam  BrP_204.16d
÷atayojanagàminã  BrP_17.15b
÷ataråpàm ayonijàm  BrP_2.1d
÷ataråpàya vai namaþ  BrP_37.3d
÷ataråpà vyajàyata  BrP_2.2d
÷ataråpà vyajàyata  BrP_2.5b
÷atavarùaü dvijottamàþ  BrP_227.34d
÷ata÷aþ koñisaüghàtair  BrP_47.71c
÷ata÷o 'tha sahasra÷aþ  BrP_3.90b
÷ata÷o 'tha sahasra÷aþ  BrP_3.102b
÷ata÷o 'tha sahasra÷aþ  BrP_3.106d
÷ata÷o 'tha sahasra÷aþ  BrP_20.68b
÷ata÷o 'tha sahasra÷aþ  BrP_22.28b
÷ata÷o 'tha sahasra÷aþ  BrP_32.102d
÷ata÷o 'tha sahasra÷aþ  BrP_39.54d
÷ata÷o 'tha sahasra÷aþ  BrP_47.28b
÷ata÷o 'tha sahasra÷aþ  BrP_47.64d
÷ata÷o 'tha sahasra÷aþ  BrP_187.58b
÷ata÷o 'tha sahasra÷aþ  BrP_212.74b
÷ata÷o 'nye ca parvatàþ  BrP_27.24b
÷ata÷o 'pi jalair dhautaü  BrP_25.4c
÷atasàhasrasaümitaþ  BrP_20.2b
÷ataü kavacinàü raõe  BrP_15.10b
÷ataü tãvraparàkramàþ  BrP_3.73d
÷ataü tv evaü samàkhyàtaü  BrP_3.50a
÷ataü varùasahasràõàü  BrP_34.83a
÷ataü vidyàn mahàbuddhe  BrP_146.44c
÷ataü sa sumahàtapàþ  BrP_8.61b
÷atàd årdhvaü vyavasthitaþ  BrP_23.10b
÷atàdhikàni dadç÷e  BrP_202.31c
÷atànàm a÷vamedhànàü  BrP_62.4c
÷atàni da÷a pa¤ca ca  BrP_213.45b
÷atàni da÷a bàhånàü  BrP_213.111c
÷atàni pa¤ca viprebhyo  BrP_47.87a
÷atàni muni÷àrdåla  BrP_115.20e
÷atàni munisattama  BrP_110.146d
÷atàyuþ sa suto bhavet  BrP_125.48d
÷atena saha bho dvijàþ  BrP_7.74b
÷atenàmararàjatàm  BrP_191.7b
÷atair da÷a÷atàdikaiþ  BrP_59.12b
÷atair dvàda÷abhir viùõå  BrP_31.22a
÷atai÷ ca tribhir aryamà  BrP_31.22d
÷atodaraþ ÷atàvartaþ  BrP_40.5c
÷atravo 'py uttamà nahi  BrP_152.20b
÷atrughàtàya caõóàya  BrP_40.16c
÷atrughnabharatàdãnàü  BrP_123.104c
÷atrughna÷ càpi kaikeyyàü  BrP_123.85c
÷atrughna÷ càrimardanaþ  BrP_14.9d
÷atruõàhaü varànane  BrP_129.43b
÷atrupakùakùayaükara  BrP_213.73d
÷atrubhir yudhi durdamaþ  BrP_10.2b
÷atrubhi÷ càparàjitam  BrP_7.85d
÷atrusaüghabhayaükaraþ  BrP_43.4d
÷atruhà càrimejayaþ  BrP_16.53b
÷atruü mitraü ca ye nityaü  BrP_224.32a
÷atråüs tàn anudhàvati  BrP_112.15b
÷anir vaivasvatas tathà  BrP_89.38d
÷aniþ såryasuto balã  BrP_118.27d
÷anair àhåya vàcayà  BrP_123.152b
÷anair ujjãvate punaþ  BrP_215.71b
÷anair jagàma sà tatra  BrP_108.34a
÷anair da÷aratho ràjà  BrP_123.147c
÷anair nagebhyo malayàdrijàtàþ  BrP_36.105b
÷anais tadde÷am abhyàgàd  BrP_73.27a
÷anais taü de÷am abhyagàt  BrP_123.50d
÷anais taü de÷am abhyagàt  BrP_123.66d
÷anais taü de÷am abhyagàt  BrP_123.213b
÷anais tu vàmanaþ pràha  BrP_73.41a
÷anaiþ provàca tàü bhàryàü  BrP_167.25a
÷anaiþ ÷anair athàgatya  BrP_87.30c
÷anaiþ ÷anair upagamad  BrP_159.24c
÷anaiþ ÷anair jagau gopã  BrP_189.18a
÷anaiþ sa gautamãm àgàt  BrP_118.9a
÷anaiþ sa ÷aükaraü gatvà  BrP_90.31c
÷apathais tava ràkùasa  BrP_228.36b
÷apeyus tapasà yuktà  BrP_213.54a
÷aptà÷ ca bhagavan pårvaü  BrP_219.92c
÷aptà hi sà matimatà  BrP_11.42a
÷aptukàmas tadà harim  BrP_93.16b
÷apto 'ham asmi loke÷a  BrP_6.27c
÷apto 'haü tàta kopena  BrP_32.67a
÷apto 'haü devadevena  BrP_111.72a
÷aptvà taü pårum abravãt  BrP_146.31b
÷abalà÷vàs tathà prajàþ  BrP_3.20d
÷abdagràhyaü tathà ÷rotraü  BrP_240.17c
÷abdabrahmaõi niùõàtaþ  BrP_234.62a
÷abdabrahma paraü ca yat  BrP_234.61d
÷abdabrahmàgamamayaü  BrP_234.59a
÷abdabrahmàbhivartate  BrP_236.66d
÷abdamàtra÷rutimukhà  BrP_30.19a
÷abdamàtraü tathàkà÷aü  BrP_233.26c
÷abdaråpàya te 'cintya-  BrP_192.49a
÷abdaspar÷au ca råpaü ca  BrP_241.24c
÷abdaspar÷au tathà råpaü  BrP_236.11a
÷abdaþ ÷rotraü tathà khàni  BrP_237.48a
÷abdàtãtaü guõàtãtaü  BrP_51.12a
÷abdàdihãnam ajaraü  BrP_196.32c
÷abdàdyà viùayàþ prabho  BrP_55.25d
÷abdàdyà viùayàþ prabho  BrP_196.38d
÷abdàdyà viùayàþ sarve  BrP_60.30a
÷abdàn khagamukheritàn  BrP_178.30d
÷abdaiþ khagamukheritaiþ  BrP_42.21d
÷amakà÷ ca vçkaiþ saha  BrP_27.42b
÷amanaü sarvabhåtànàü  BrP_56.44c
÷amanàya namo namaþ  BrP_37.6b
÷amano dhçtimàn vasuþ  BrP_5.45d
÷amayanty akhilaü vipràs  BrP_232.37c
÷amayàm àsa vàriõà  BrP_7.83d
÷amaü naya jaganmaya  BrP_110.148b
÷amaü vraja mahàpràj¤a  BrP_124.109c
÷amàtmakam çjuü tvaü me  BrP_10.45a
÷amàtmakaü dvija÷reùñhaü  BrP_10.33a
÷amitàraü ca çùayo  BrP_116.3a
÷amitçtve dhanaü càpi  BrP_150.4c
÷amitrà mçtyunà sattram  BrP_116.19c
÷amitrà saha nàrada  BrP_116.11d
÷amiputraþ pratikùatraþ  BrP_16.4a
÷amãko ràjyam àvahat  BrP_14.33b
÷amã ca daõóa÷armà ca  BrP_16.3a
÷amãtãrtham iti khyàtaü  BrP_103.1a
÷amãpuùpair aharni÷am  BrP_136.4d
÷amãpràyà mahãruhàþ  BrP_230.52b
÷ambara÷ ca mahàvãryaþ  BrP_200.1c
÷ambarasya na bhàryeyaü  BrP_200.25c
÷ambaraü mohayàm àsa  BrP_200.26c
÷ambaràya niveditaþ  BrP_200.5d
÷ambareõa hçtaþ kçùõa-  BrP_200.9c
÷ambareõa hçto vãraþ  BrP_200.1a
÷ambaro nàma vãryavàn  BrP_134.10d
÷ambhalagràmasaübhavaþ  BrP_213.164d
÷ayanasya nadãpatim  BrP_44.48b
÷ayanaü ca vivarjayet  BrP_221.58b
÷ayanaü phalakeùu ca  BrP_242.11b
÷ayanàsanaceùñitaþ  BrP_234.30b
÷ayanàsanabhojanam  BrP_222.35d
÷ayanãyagatais tathà  BrP_214.26d
÷ayanãyagatais tathà  BrP_214*.26d
÷ayane sarvadevàs tu  BrP_80.51a
÷ayane sà rahogatà  BrP_111.64d
÷ayanotthàpane kçùõaü  BrP_177.7a
÷ayanotthàpane caiva  BrP_41.72a
÷ayanotthàpane bhànoþ  BrP_28.54c
÷ayànaü puruùaü tathà  BrP_78.32d
÷ayàno madhusådanaþ  BrP_184.22b
÷ayàno 'sti sadà gçhe  BrP_223.47b
÷ayitàyotthitàya ca  BrP_40.19b
÷ayãta na tathoùasi  BrP_221.50d
÷ayãtàtha puraüdarãm  BrP_221.50b
÷ayyàm àsàdya bandhakãm  BrP_92.27d
÷ayyà÷ càpy upacàrataþ  BrP_47.44d
÷ayyàsanam athàpi và  BrP_216.12b
÷ayyàsanavikàràü÷ ca  BrP_47.52a
÷arakartà ca vedhake  BrP_22.16b
÷araccandranibhànanàþ  BrP_44.24d
÷araccandranibhànanàþ  BrP_46.14b
÷araccandranibhànanàþ  BrP_47.68d
÷araccandramanoramàm  BrP_189.21b
÷araccandrasya candrikàm  BrP_189.14b
÷araõaü khaga gautamã  BrP_90.33f
÷araõaü gaccha ràjendra  BrP_39.73a
÷araõaü gatavàn muniþ  BrP_54.24d
÷araõaü gautamã nçõàm  BrP_152.32d
÷araõaü taptacittànàü  BrP_122.66a
÷araõaü taü dhanaüjayam  BrP_125.17f
÷araõaü te samabhyetya  BrP_207.12c
÷araõaü tvaü bhavasva naþ  BrP_213.73f
÷araõaü pratyapadyata  BrP_12.13d
÷araõaü bhava gautami  BrP_107.57d
÷araõaü bhava sarve÷a  BrP_110.134c
÷araõaü madhusådanam  BrP_207.34d
÷araõaü yàmi ÷aükaram  BrP_116.15d
÷araõaü yàmi ÷aükaram  BrP_116.16d
÷araõaü ÷iva evàtra  BrP_143.5c
÷araõàgatadãnàrtaü  BrP_107.58c
÷araõàgatarakùakaþ  BrP_106.35d
÷araõàgatavatsala  BrP_109.35b
÷araõàgataü vi÷vastaü  BrP_214.123c
÷araõàgataü vi÷vastaü  BrP_214*.123c
÷araõyaü bhaktavatsalam  BrP_80.68d
÷araõyaü ÷añham eva ca  BrP_14.40b
÷araõyaü ÷araõaü gatàþ  BrP_213.71f
÷araõyaü ÷araõaü viùõum  BrP_213.70c
÷araõyaþ ÷araõàrthinàm  BrP_157.6d
÷araõyaþ sarvabhåtànàü  BrP_226.28a
÷araõyà gautamã mudà  BrP_107.58d
÷araõyàyàcyutàya ca  BrP_59.38d
÷araõyau sarvalokànàü  BrP_122.88c
÷aratkundenduvarcasam  BrP_59.14d
÷aratpuùpakçtàpãóàþ  BrP_187.53c
÷aradãva ca bhàskaraþ  BrP_13.176b
÷aradvàn nàma gautamaþ  BrP_5.44b
÷arabhaþ ÷alabha÷ caiva  BrP_213.85a
÷arayår nàkagaïgà ca  BrP_64.13a
÷arastambe ÷riyà vçtaþ  BrP_3.40b
÷aràn mumoca caiteùu  BrP_212.23a
÷aràs te 'pi kùayaü yayuþ  BrP_212.24b
÷aràü÷ ca divyàn rakùàrthaü  BrP_4.50c
÷arãragrahaõàtmikà  BrP_206.42b
÷arãranicayaü j¤àtuü  BrP_217.12c
÷arãram àtmano 'haü vai  BrP_161.34a
÷arãrasthaü tavànagha  BrP_56.7b
÷arãrasthà dvijottamàþ  BrP_217.19b
÷arãrasya ca dhàraõam  BrP_126.15d
÷arãrasya ca ÷oùaõàt  BrP_136.23d
÷arãrasyàvidårataþ  BrP_16.32d
÷arãraü te na jànàmi  BrP_61.32a
÷arãraü pà¤cabhautikam  BrP_214.29d
÷arãraü pà¤cabhautikam  BrP_214*.29d
÷arãraü pàlayed budhaþ  BrP_228.45d
÷arãraü varjayanty ete  BrP_217.16c
÷arãraü vi÷a me kùipraü  BrP_53.42c
÷arãraü sàdhanaü yataþ  BrP_228.45b
÷arãraü sàdhanaü yataþ  BrP_235.12d
÷arãraü sàdhayed yas tu  BrP_216.51a
÷arãràc cyàvito jãvo  BrP_214.49a
÷arãràc cyàvito jãvo  BrP_214*.49a
÷arãràõàm ajasyàhur  BrP_236.34c
÷arãràõi dvijottama  BrP_56.56d
÷arãràd vàri susruve  BrP_108.113b
÷arãràrogyada÷ caiva  BrP_31.34a
÷arãriõaþ saüsmçtim ugraduþkhàm  BrP_173.39d
÷arãriõàü kçpàsindho  BrP_124.99c
÷arãriõàü nànyad aho trilokyàm  BrP_150.17c
÷arãriõàü sarvavipadgatànàm  BrP_71.9b
÷arãriõàü sthàvarajaïgamànàü  BrP_100.20c
÷arãriõã tathopetya  BrP_198.12a
÷arãriõo yau paricintayantaþ  BrP_108.105b
÷arãre tasya devatàþ  BrP_226.22b
÷arãreùu ca dehinàm  BrP_30.34d
÷arãre 'haü ca saüsthitaþ  BrP_226.21d
÷arãro 'yaü mahàsuraþ  BrP_193.47d
÷arair agnividàraõaiþ  BrP_207.20b
÷arair àdityasaükà÷air  BrP_68.50a
÷arair ivàntakasyograi÷  BrP_234.39c
÷arkarànicitena ca  BrP_215.7b
÷arkaràpiùñasaüyutaþ  BrP_228.133b
÷arkarà ÷ailakà¤canã  BrP_21.3d
÷armiùñhà ca nçpàl lebhe  BrP_146.6c
÷armiùñhà càpi tasyaiva  BrP_146.5a
÷armiùñhàm àsurãü caiva  BrP_12.5a
÷armiùñhàyàs tu tanayàþ  BrP_146.8a
÷armiùñhà vàrùaparvaõã  BrP_3.81b
÷armiùñhà vàrùaparvaõã  BrP_12.6b
÷armiùñheti dvitãyà sà  BrP_146.3c
÷aryàtà iti vi÷rutàþ  BrP_7.40d
÷aryàtir iti vikhyàto  BrP_138.2a
÷aryàtiü ratnabhåùitam  BrP_138.37b
÷aryàter mithunaü tv àsãd  BrP_7.27c
÷aryàteþ saütatiþ katham  BrP_7.36b
÷aryàtau nçpasattame  BrP_138.27b
÷arva eva patiþ ÷reùñhaþ  BrP_34.99a
÷arvaryante samàhitaþ  BrP_28.20d
÷arva÷aþ sarvagahanaü  BrP_7.41c
÷arveõa saha saübandho  BrP_36.56a
÷arvo 'kùara iti smçtaþ  BrP_30.61d
÷aladà maladà tathà  BrP_13.7b
÷alaputro babhåva ha  BrP_8.92b
÷alàtmaja àrùñiseõas  BrP_11.34c
÷alkahãnàü÷ ca matsyakàn  BrP_220.191b
÷avatãrtham anuttamam  BrP_123.176d
÷avapårõaü mahàvañam  BrP_215.112d
÷avaü ca patitaü yatra  BrP_123.176c
÷a÷akaþ kacchapo godhà  BrP_221.111a
÷a÷abinduþ paraü vçttaü  BrP_15.4c
÷a÷abindoþ sutàbhavat  BrP_7.93b
÷a÷asya pi÷itaü pitén  BrP_220.25b
÷a÷aüsàsyai janàrdanaþ  BrP_203.4d
÷a÷aüsur daityabhåpateþ  BrP_206.6d
÷a÷aüsu÷ ca hariü gatvà  BrP_178.60a
÷a÷aþ ÷a÷àïkanayana-  BrP_40.77c
÷a÷àka no vàrayituü  BrP_184.34c
÷a÷àïkalekhàkuñilena sarvataþ  BrP_36.75b
÷a÷àïkavadanà tathà  BrP_36.86d
÷a÷àïkasya dvijottamàþ  BrP_67.72d
÷a÷àïkàïkitamårdhajam  BrP_59.15b
÷a÷àïkàdityanetràya  BrP_37.12c
÷a÷àdas tu nçpo 'bhavat  BrP_7.51b
÷a÷àdasya tu dàyàdaþ  BrP_7.51c
÷a÷àdo mçgayàü gataþ  BrP_7.50b
÷a÷àpa kopàc càkùipya  BrP_152.10c
÷a÷àpa tàn atikruddho  BrP_12.33a
÷a÷àpa te sa gàdheyo  BrP_147.18c
÷a÷àpa nipatiùyadhvaü  BrP_219.15c
÷a÷àpa pàpa te pàdo  BrP_89.17a
÷a÷àpendraü ruùà ditiþ  BrP_124.79b
÷a÷àpainaü sa manyumàn  BrP_12.31b
÷a÷àpaivaü ruùà kaviþ  BrP_152.27d
÷a÷àpoùàpatiþ prabhuþ  BrP_89.32f
÷a÷ina÷ ca na ÷ãtàya  BrP_21.9a
÷a÷inas tejasas tathà  BrP_240.35b
÷a÷ilekhà ca vàmanà  BrP_178.23b
÷a÷ilekhà ÷ubhànanà  BrP_68.64b
÷a÷o jantuþ prajàyate  BrP_217.95b
÷a÷olåkamukhàs tathà  BrP_213.93d
÷aùkulãvañakaü tathà  BrP_67.27b
÷astam asya dvijottamàþ  BrP_222.41d
÷astam asya pra÷asyate  BrP_222.42d
÷astràgniviùadar÷inaþ  BrP_22.6b
÷astràjãvo mahãrakùà  BrP_222.8a
÷astràõàü kuli÷o yathà  BrP_69.26b
÷astràõi ÷àstràõi gçhopayogyàny  BrP_129.78a
÷astràõy astràõy aneka÷aþ  BrP_203.50d
÷astràstrakùepaõàd drutam  BrP_206.38d
÷astràstramokùabahulaü  BrP_207.40c
÷astràstravarùaõaü yuddhaü  BrP_149.12a
÷astràstravarùaü mu¤cantaü  BrP_202.21a
÷astràstravçùñisaüdãpta-  BrP_32.44a
÷astràstrair bahudhàrditàþ  BrP_206.22d
÷astreõa ca yathà÷àstraü  BrP_111.46c
÷astreùv astre ca sãdati  BrP_206.34b
÷astreùv astreùu satvaram  BrP_203.60b
÷astrair daivabalàt kçtàþ  BrP_210.40b
÷astrair nikçtyamànai÷ ca  BrP_214.89a
÷astrair nikçtyamànai÷ ca  BrP_214*.89a
÷astrair vaivàha eva ca  BrP_111.15d
÷asyate vàsya bho dvijàþ  BrP_222.6d
÷aükarasyàdike÷asya  BrP_169.40c
÷aükarasyàrcanaü kçtam  BrP_123.215b
÷aükaraü praùñum udyatàþ  BrP_145.7b
÷aükaraü yàta yàcata  BrP_91.7d
÷aükaraü và sure÷varam  BrP_28.40d
÷aükaraü samavaikùata  BrP_36.36b
÷aükaraþ sarvabhåtàtmà  BrP_109.37c
÷aükaràd bhàvapåjitàt  BrP_152.25b
÷aükaro 'pi garutmantaü  BrP_90.31e
÷aükaro hçùito 'bravãt  BrP_123.212b
÷aü na÷ càstu catuùpade  BrP_32.95b
÷aü no 'stu jagatàü pate  BrP_32.94d
÷aü no 'stu dvipade nityaü  BrP_32.95a
÷aüpàdayad aninditàm  BrP_38.25d
÷aübhave tan nyavedayat  BrP_91.5b
÷aübhave tvaü nivedaya  BrP_128.9d
÷aübhave viùahàriõe  BrP_106.23d
÷aübhunà ca tathà dattà  BrP_76.7c
÷aübhunà devadevena  BrP_110.119a
÷aübhunà paramàtmanà  BrP_172.3d
÷aübhum abhyàgato gçhàt  BrP_206.4b
÷aübhum àgaccha satvaraþ  BrP_128.15b
÷aübhum åcur divaukasaþ  BrP_110.133d
÷aübhur apy àha yatnataþ  BrP_124.108b
÷aübhur lokaguruþ prabhuþ  BrP_71.36d
÷aübhu÷ ca vçùabhaü pràha  BrP_91.5c
÷aübhus tat pippalaü viduþ  BrP_110.3b
÷aübhuü gaïgàü suràn natvà  BrP_110.188c
÷aübhuü trailokyapåjitam  BrP_128.9b
÷aübhuü dçùñvà suragaõà  BrP_71.39a
÷aübhuü devaü jagadgurum  BrP_95.15b
÷aübhuü vàkyam athàbravãt  BrP_124.113d
÷aübhuþ prãto rahogataþ  BrP_111.73d
÷aübhuþ ÷ålena nàrada  BrP_127.58d
÷aübhuþ ÷reyaþ kariùyati  BrP_128.41d
÷aübhuþ surapatir loke  BrP_106.50c
÷aübhor antikam eva ca  BrP_90.30b
÷aübhor àj¤àü tathaiva ca  BrP_108.95d
÷aübhor viùõos tathaiva ca  BrP_107.54b
÷aübhor vãryaü dvijottamàþ  BrP_40.1b
÷aübhoþ patnã bhaviùyati  BrP_71.23b
÷aübhoþ putro bhaviùyati  BrP_71.31d
÷aübhoþ påjàü pracakrame  BrP_109.47d
